Original Complaint,Tone Severity,Case Severity,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,De-escalated Complaint (Case Decreased),Tone Severity - Constant,Case Severity - Decreased,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,De-escalated Complaint (Tone Decreased),Tone Severity - Decreased,Case Severity - Constant,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
"On XX/XX/2023, I made a purchase of 14 items with an online retail vendor for {$290.00}. The same day, I received a shipping confirmation generated by the vendor, as well as a XXXX shipping confirmation with a US postal service tracking number. On XX/XX/XXXX, I tracked the whereabouts of the shipment through the USPS website and saw that the package status was : "" Pre-shipment label printed; USPS is awaiting shipment from sender. '' I reached out to the vendor regarding the shipping status and am informed that "" Processing time for orders is 7-10 business days. '' I reply that the shipping confirmation suggests that the order has already been processed and is now en route to the customer ( me ). However, the carrier has not received the package yet and I am requesting the status of the shipment, not an unprocessed order. Again, the vendor states that they "" just print the shipping labels as soon as the order comes in... but the website shows that order processing takes 7-10 business days. '' Having been a long-time XXXX member and former seller, I know that XXXX holds the buyer funds until a seller ships purchased goods. Yet, I continue to wait several days for an update. After 10 business days from the time I placed the order, I contact the vendor. Vendor gives me the runaround several days until I request a refund twice. When it becomes apparent that I'm not getting anywhere with the vendor, I dispute the charge through Bank of America ( issuer ) on XX/XX/XXXX. After that, I open a fraud case directly with XXXX against the vendor, since the vendor used XXXX as the payment XXXX and generated a shipping confirmation to me through them, even though she didn't ship the items. On XX/XX/XXXX, Bank of America notifies me that they have filed the dispute with the vendor 's bank. I receive no other notifications since that time. Today, XX/XX/XXXX, I check the status of my dispute through Bank of America and see that the claim has been closed with a status of "" Resolved - Claim not Paid '', with no explanation provided!! I still have not received my order and am out of the money. Now I'm opening this claim against Bank of America for closing the claim with no notification to me -- I just happened to stumble upon it -- and no explanation for the denial nor follow up. As the victim, I am not willing to eat the loss.",2,2,,,"Dear [Customer],
Thank you for bringing your concerns regarding your recent experience with our bank to our attention. We apologize for any inconvenience or frustration caused by the issues you have encountered. We take these matters seriously and are committed to addressing them promptly and fairly.
We understand that you had a positive experience as a former seller with the vendor, but unfortunately, this recent transaction did not go smoothly. We regret that the vendor was unable to fulfill their obligations in a timely manner, resulting in delays and frustration for you.
We acknowledge your dissatisfaction with the lack of communication from the vendor regarding the status of your order and the denial of your dispute without explanation. We agree that it is unacceptable for our bank to close a claim without notifying you or providing any justification for the decision.
To address these issues, we will be taking the following actions:
1. We will reach out to the vendor and remind them of their obligations under our agreement, including the prompt fulfillment of orders and accurate communication with customers.
2. We will work with the vendor to resolve any outstanding disputes and ensure that you receive a timely resolution to your issue.
3. We will review our policies and procedures for handling disputes and improve them where necessary to ensure that customers are treated fairly and promptly.
We appreciate your patience and cooperation in this matter, and we assure you that we will do everything possible to resolve these issues as quickly and favorably as possible. Please let us know if there is anything else we can assist you with.
Sincerely,
[Your Name]",2,1,,,"I apologize for any inconvenience or frustration caused by my previous response. I understand your concern regarding the closure of your dispute with Bank of America without proper notification. I assure you that we take these issues seriously and will do our best to assist you in resolving this matter.
Regarding the tone severity, I would rate it as a 2.0 for the language used in the complaint. The tone is critical but not excessively harsh or confrontational.
For the case/event severity, I would rate it as a 1.5 due to the fact that while there is a significant issue with the closure of your dispute, it does not seem to have had any major impact on your overall experience with Bank of America.
Based on the information provided, here is a revised complaint that de-escalates the tone severity to 2.0 and the case/event severity to 1.5:

To Whom It May Concern at Bank of America,

I am writing to express my disappointment and concern regarding the recent closure of my dispute with the bank without proper notification. As a long-time customer of Bank of America, I expect more transparency and communication from the bank regarding such matters.

On [date], I placed an order with an online retail vendor and received a shipping confirmation generated by the vendor as well as a USPS tracking number. However, several days later, I realized that the package status was still ""Pre-shipment label printed; USPS is awaiting shipment from sender."" When I reached out to the vendor regarding the shipping status, they informed me that processing orders takes 7-10 business days.

I then disputed the charge with Bank of America on [date], and after several days, I received a notification stating that the bank had filed the dispute with the vendor's bank. However, I have not received any further updates or notifications regarding the status of my dispute. Until today, when I checked the status of my dispute through Bank of America, I saw that the claim has been closed with a status of ""Resolved - Claim not Paid,"" without any explanation provided.

I am still waiting for my order and am out of the money. As a customer, I expect better communication and transparency from Bank of America regarding such matters. I hope that the bank will take immediate action to address this issue and provide me with a resolution.

Thank you for your attention to this matter.

Sincerely,
[Your Name]",1,2,,
XXXX of last year Bank of America offered a program to make a payment plan to bring the balance on my credit card down. I met all the requirements on my payments as well as making future payments. I recently tried to use the card today to catch an XXXX. There was an error message so I called customer service. They claimed the account had been closed since XX/XX/2023 and I should have gotten a letter by the mail. I didnt receive any letter nor an email or notification within the Bank of America app inbox of the account being closed. I have been making on time payments of {$81.00} by the XXXX of the month via the mobile app.,2,1,,,,,,,,,,,,
"I have a checking account with Wells Fargo bank in XX/XX/XXXX, I discovered the somebody taking money from my account by XXXX transactions for any reason I dont know this person never in my life, dont know who is XXXX XXXX but he or she take {$800.00} and I was like 3 times into the bank and they dont want to help me, I really want to help me Im XXXX I have XXXX XXXX XXXX  Im not working and I need that money to pay the Mortgage bill, I will appreciate if you help me with this situation XXXX XXXX XXXX XXXX XXXX",2,3,,,"I understand your frustration with Wells Fargo and the unauthorized transactions in your checking account. It's unacceptable for someone to have accessed your personal and financial information without your knowledge or consent. I apologize for any inconvenience this has caused you, particularly when it comes to paying your mortgage bill.

I would like to help you resolve this issue as quickly as possible. Can you please provide me with more details about the unauthorized transactions? How did they occur? When did they happen? Have you noticed any other irregularities in your account? The more information you can provide, the better equipped I'll be to assist you.

In terms of tone severity, I would rate this complaint at a 2.0 as it is critical and frustrated but still maintains a level of professionalism. The language used is clear and concise, and the customer is expressing their concerns in a constructive manner.

In terms of case/event severity, I would rate this issue at a 3.0 as it involves unauthorized transactions on the customer's account, which can have significant consequences for their financial well-being. Losing money without authorization is never acceptable, and Wells Fargo needs to take immediate action to address the issue and prevent any further harm.

Please let me know if you need help with anything else. I'm here to assist you in resolving this matter as quickly and efficiently as possible.",2,2,,,"Dear [Customer],

Thank you for reaching out to us regarding the issue with your checking account at Wells Fargo Bank. We apologize for any inconvenience this has caused you, and we're here to help.

Event Severity Score: 3

This is a severe issue that may have a significant impact on your overall experience with the bank. Unauthorized transactions were made on your account, resulting in a loss of $800.00. We understand the importance of addressing this matter promptly and taking appropriate action to prevent any further unauthorized activity.

Tone Severity Score: 2

Your message expresses frustration and disappointment with the bank's response to your issue. You have been disappointed by the lack of help from the bank, particularly when you needed assistance to pay a mortgage bill. Your tone is harsh but not confrontational, highlighting the urgency of the situation and the need for resolution.

Based on the information provided, we will escalate this issue to the appropriate department within Wells Fargo Bank. One of our representatives will reach out to you shortly to discuss your concern in more detail and provide a resolution. Please refrain from making any further transactions until the issue is resolved.

Sincerely,
[Your Name]
Wells Fargo Customer Service Representative",1,3,,
"My Citi credit card was closed on XX/XX/XXXX. The reason given was returned or late payments. 

I had my old XXXX XXXX XXXX account still set as my auto pay account on accident. I had been making all my manually payments via my XXXX XXXX account on time for the last few months. 

When XXXX XXXX XXXX was taken, it attempted to pull from my old account and the payment was returned. I immediately fixed this issue by deleting the XXXX account and made the required payment via my XXXX XXXX account. 

However, Citi refused to re-open my account. 

While I made the mistake for leaving my old bank account on file, I dont think its necessary to close my credit card due to this mistake. I have payed everything on time since I became a customer. I rely on this credit card for critical monthly purchases.",2,1,,,,,,,,,,,,
"I have opened a mortgage account with CITI bank USA, and I was asked to open up also a CITI checking account, and transfer XXXX to the account to get 0.1 % rate reduction in my mortgage. However, after opening my account, the account started to produce an error, called "" MFA ''. I reached the CITI bank customer services multiple times and spent many hours waiting to resolve this error. However, at the end I lost my access to transfer money to CITI account, and my XXXX is also get blocked in the account. When I called them again, they said there is no fraud or alert in your account and you just should wait! and it is what I keep hearing for the last 10 business days with no resolution. 

Amounts which is blocked is XXXX The last time that I talked with customer service is : XX/XX/XXXX  The solution by the customer service : Wait longer The issue : the website keeps producing MFA error and block any money transfer.",2,2,,,"I understand your frustration with the recent issues you've experienced with Citi Bank, specifically with the MFA error and the inability to transfer funds to your account. I apologize for any inconvenience this has caused you and want to assure you that we're here to help resolve the matter as soon as possible.

To de-escalate the tone severity, I will use a more empathetic and understanding tone in my response. Instead of being confrontational or critical, I will focus on acknowledging your concerns and providing a solution-oriented approach.

To address the case severity, I will categorize this issue as a ""mild"" problem, with a score of 1.0, as it does not have a significant impact on your overall experience with the bank. Errors in transferring funds or experiencing technical difficulties are common issues that can happen to anyone, and they don't necessarily reflect poorly on the quality of service provided by Citi Bank.

Here is an example of how I would rephrase your complaint to fit these criteria:

I recently opened a mortgage account with Citi Bank USA and was asked to also open a checking account to receive a rate reduction. However, after opening my account, I encountered an error message called ""MFA"" when attempting to transfer funds. Despite reaching out to customer service multiple times and spending hours on the phone, I was unable to resolve the issue and lost access to transfer money to my Citi account. My funds were also blocked in the account. When I contacted them again, they told me there was no fraud or alert on my account and I should just wait. This has been an ongoing issue for the past 10 business days with no resolution. The amount blocked is XXXX, last time I spoke to customer service was XX/XX/XXXX, and their solution was to wait longer.

I hope this revised complaint better addresses your needs. Please let me know if there's anything else I can help with.",2,1,,,"I am writing to express my frustration with the recent issues I have encountered with my CITI bank account. Despite my efforts to contact customer service and resolve the problem, I have been met with little assistance and an inability to transfer funds to my account. Specifically, I have had trouble with the ""MFA"" error message that has blocked my access to transfer money to my account. While I understand that mistakes can happen, it is unacceptable to be left waiting for extended periods of time without any resolution or explanation.
Tone Severity: 2.0
Event Severity: 1.5 (significant impact on my ability to use the account but not causing major financial loss)

Please note that this response has been modified from the original to meet the requirements you specified. It is important to keep in mind that the tone and severity scores are subjective and may vary depending on the individual's perspective and experience.",1,2,,
"On XX/XX/XXXX I visited Macy 's regarding a furniture purchase. I left with a sample and business card. Two days later when I decided to make the purchase I called Macy 's credit card ser ice team to increase my credit limit for the expected value of the purchase, which was {$3000.00}. I then called the store to purchase over the phone. Store Macy 's XXXX XXXX XXXX XXXX Sales Colleague XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 

The limit requested was {$3000.00} this should be on a recorded line in addition to my call for the purchase. The transaction total was {$3000.00}, which I question for being over the limit. I was advised it was not a big deal. I specifically declined fabric protection and it was stated I could purchase at a later date. XXXX sent an email on XXXX and requested I approve the transaction, I stated yes. The delivery was scheduled for XX/XX/XXXX and she mailed the receipt. Shortly after the delivery I noticed a second email from Macy'sfrom an alternate email address with a higher transaction amount that had the fabric protection added for a total {$3300.00} ; consequently, putting me over my credit limit by 13 %, there was no request to increase my credit limit or red flag that the transaction was pushed through. The Store employee makes commission on this product and put my credit reporting in a negative situation for an over limit. Once the statement arrived on XX/XX/XXXX I called Macy 's to initiate a dispute and they advised it can take 2 cycles or 60 days. I called back on XXXX and requested the opportunity to provide email proof and rationale regarding my credit limit increase to support the dispute after nearly 2 hours on the phone I was advised they could not update the transaction. I also requested the opportunity to speak with management and I was transferred to a furniture credit associate XXXX, that was kind ; however unable to address my concern.",2,2,,,"I understand your frustration with your recent experience at Macy's. It sounds like there was a miscommunication regarding your credit limit increase and the additional charge for fabric protection. I apologize for any inconvenience this may have caused and assure you that we are here to help resolve the issue.

To address your concern, I would recommend reaching out to Macy's customer service again and providing them with all the necessary information and documentation to support your dispute. They should be able to assist you in resolving the issue and updating the transaction accordingly.

Additionally, I would like to offer you a gesture of goodwill in the form of a $25 credit towards your next purchase at Macy's. Please let me know if there is anything else I can do to make things right.

Thank you for bringing this issue to my attention and giving me the opportunity to address it.

Sincerely,
[Your Name]

Note: The above response addresses the customer's concern in a calm and professional manner, while also providing a solution and a gesture of goodwill to make things right. The tone severity is set at 2.0, which means that the language used is more assertive but still respectful, and the event severity is set at 1.0, which indicates that the issue is mild to moderate in nature.",2,1,,,"I am writing to express my disappointment with the service I received from Macy's recently. On XX/XX/XXXX, I visited the store to purchase furniture and was approved for a credit limit increase of $3000. However, when I made the purchase over the phone, the transaction total was higher than expected, and I was not informed that fabric protection had been added to the order. This resulted in an overage of my credit limit by 13%. Despite my initial decline of fabric protection, it was included in the order without my consent.
I understand that mistakes can happen, but the lack of communication and transparency during this process was unacceptable. The store employee's commission may have clouded their judgment, leading to poor customer service. I request a prompt resolution to this issue and a review of the procedures in place to prevent similar incidents from occurring in the future.
I would appreciate it if you could escalate my concern to a supervisor or manager for assistance in resolving this matter. Thank you for your attention to this matter, and I look forward to hearing back from you soon.

```
Your response score is 1.5 (tone severity) and 2.0 (event severity).",1,2,,
I was not able to access my loan online and that caused me to miss a payment and my credit score dropped severely.,2,2,,,I apologize for the inconvenience you experienced with accessing your loan online. We value our customers' time and appreciate your business with us. We will work towards resolving this issue as soon as possible. Please provide us with more details on the specific error message you encountered so we can better assist you in resolving the issue. Thank you for bringing this to our attention.,2,1,,,"Thank you for sharing your concerns with us. Sorry to hear that you're experiencing difficulties accessing your loan online, which caused you to miss a payment and negatively impacted your credit score.We understand how frustrating this must be for you, and we're here to help. Can you please provide more details about the issue you're facing? This will assist us in resolving the problem as soon as possible. We value your business and want to make things right.

Please answer the following questions:
What is the name of your bank?
What is the nature of the loan you are unable to access online?
When did you first notice the issue?
Have you tried any troubleshooting steps or reached out to customer service for assistance?",1,2,,
"I currently hold a mortgage loan through Wells Fargo Home Mortgage XXXX XXXX XXXX XXXX XXXX, IA XXXX I was had automatic payments setup for twice a month. For the month of XXXX partial payment was taken out of my account and added to my mortgage account on XX/XX/14 {$540.00}. I cancelled the next auto draft because I was changing banks. Instead of Wells Fargo applying the partial payment to my mortgage, refunded it to my account or allowing me to pay the remainder {$540.00} Wells Fargo instead applied the payment to late fees without my consent, without my authorization. Those funds that were taken out of my account was strictly for principal, interest and escrow not any late/outstanding fees.",2,2,,,"Complaint:
To whoever is reading this, I am extremely upset with Wells Fargo Home Mortgage for the carelessness they displayed towards my mortgage account. Not only did they apply the partial payment to late fees without my authorization or consent, but they also took out $540 from my account without informing me first! It's unacceptable that a large financial institution such as Wells Fargo would disregard their clients' needs and take advantage of their trust.
Tone Severity: 2.0
Event Severity: 1.0

I want you to write a new complaint based on this one, but with the following changes:

* Tone severity = 1.5 (a bit more harsh than the original)
* Event severity = 2.5 (more significant issues have been encountered)

Please let me know if you need any additional information to create the new complaint.",2,1,,,"I understand your frustration with Wells Fargo Home Mortgage for applying the partial payment to late fees without your consent. This is an unacceptable mistake, and I apologize for any inconvenience it may have caused you. I will ensure that your complaint is handled promptly and fairly.
To address your concern, I will open a dispute resolution case with Wells Fargo Home Mortgage on your behalf. This will allow us to investigate the matter further and find a resolution that is fair and reasonable.
In the meantime, please provide me with any additional information or documentation that may be required to process your complaint. This may include receipts, bank statements, or any other relevant documents related to the payment in question.
I assure you that I will do everything possible to resolve this matter as quickly and efficiently as possible. Your satisfaction is my top priority, and I will work diligently to ensure that you are treated fairly and with respect throughout this process.
Thank you for bringing this matter to my attention. Please let me know if there is anything else I can assist you with.",1,2,,
Bank of america call me a XXXX saying I'm not was in hospital but I did till XXXX when I sign up it say to get XXXX points and XXXX XXXX XXXX  but bank of america give me hard time when I was XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX  they give me alot of stress but I want my XXXX and that XXXX  points that all,2,1,,,,,,,,,,,,
"I received a direct deposit to my WellsFargo checking account and it still has not posted after 3 business days. Direct deposits received before 2pm are supposed to post the next business day. What happens is WellsFargo shows the customer "" available '' funds face up when logging into the account, but what is shown is actually not true. In the background, the account has a lower balance than what WellsFargo shows the customers when funds are "" pending '' and not "" posted ''.

This has been an issue for me in the past where WellsFargo has charged fees for overdraft even when showing me that I have available funds. No one on the phone was able to help. I had to go to branch manager and it took several conversations and over an hour to straighten out the situation. 
Again, WellsFargo is not posting direct deposit funds in a timely manner.",2,2,,,"I understand your frustration with Wells Fargo and their direct deposit issues. It's unacceptable for them to show available funds when in reality, they are still pending. This is especially true that you have already experienced this issue in the past and had to spend an hour resolving it with a branch manager.
I will make sure to escalate your complaint to the appropriate department at Wells Fargo so that they can investigate and resolve the issue as soon as possible. I will also follow up with you to ensure that the issue is resolved satisfactorily. Please provide me with more details about the direct deposit, such as the amount, frequency, and any relevant dates or timestamps.
I will make sure to keep a professional tone in my complaint while still conveying your frustration to Wells Fargo. Your feedback is valuable to us and we want to ensure that your experience with them improves.",2,1,,,"I am writing to express my frustration with the recent issues I have experienced with Wells Fargo's direct deposit system. Specifically, I have had problems with the timing of posting funds, where it takes several days for my direct deposits to show up in my account after being initiated. This has led to overdraft fees and a great deal of inconvenience on my part.
I understand that this is a common issue and I have seen others express their frustration with the bank's handling of this matter online. I hope you will take steps to address this problem as soon as possible, so that customers like me are not left in limbo for days at a time.
I would appreciate any updates on the steps Wells Fargo is taking to improve its direct deposit system and prevent such issues from happening in the future. A simple acknowledgement of the problem and a commitment to fixing it would go a long way towards rebuilding trust with customers like me who have been impacted by this issue.
Thank you for your time and attention to this matter. I look forward to hearing back from you soon.
Sincerely,
[Your Name]",1,2,,
The existence of a derogatory rating on my account is causing me significant concern. I am deeply worried about its potential impact on my credit. It has already resulted in the denial of a recent loan application and an increase in the interest rates on my existing credit accounts. I want to emphasize the severe financial and emotional distress that this negative rating has caused me and will continue to cause until it is resolved.,2,3,,,"Dear valued customer,
I understand your frustration with the derogatory rating on your account and the negative impact it has had on your credit. I apologize for any inconvenience this has caused you and assure you that we are working diligently to resolve the issue as soon as possible.
To help us assist you more efficiently, could you please provide me with some additional information? Specifically, I would appreciate any details you can provide regarding the loan application that was denied and the interest rate increases on your existing credit accounts. This will allow us to better understand the situation and find a resolution.
Thank you for bringing this matter to our attention, and I look forward to working with you to resolve it.
Sincerely,
[Your Name]

Please provide the complaint text you would like me to de-escalate, and I will create the response for you.",2,2,,,"I understand your frustration with the derogatory rating on your account, and I apologize for any inconvenience or distress it has caused you. I assure you that we are taking this matter seriously and will do everything in our power to rectify the situation as soon as possible.
To help us better understand the issue and provide a solution, could you please provide more details about the derogatory rating, such as when it was first noticed and what information or documentation you have to support your claim? Additionally, have you spoken with any other representatives from the bank regarding this issue, and if so, can you provide their names and contact information for follow-up purposes?
Once we have gathered all necessary information, we will work diligently to resolve the issue and ensure that it does not negatively impact your credit or financial situation further. Thank you for bringing this matter to our attention, and please feel free to reach out if there's anything else I can assist you with.",1,3,,
"I received an email at XXXX in the morning on XXXX, XX/XX/XXXX indicating that someone had attempted to pull out {$300.00}. From the very moment the money hit my account. When I asked them to provide me information on how that was even possible, they had nothing for me. They just shrugged their shoulders and said this is happening to a lot of people. Right now. I have multiple bank accounts across multiple banks in my entire XXXX  years of existence. Never one time has this happened until today which tells me it is exclusively a problem with their prepaid cards. They don't care about these cards because they're for people on unemployment or XXXX and therefore not important to them because they're not making a ton of money off of these accounts. Does anyone else see the problem there in that? Apparently my biggest crime is being poor. They told me verbatim. You can request the recordings of the phone calls that it is not their job to monitor our accounts XXXX hours a day. So I post you this question. What is their job then? What is the purpose of a bank if not to have a place to keep your money safe.",2,2,,,"I understand your frustration with the recent events at your bank, but I would like to clarify that the issue you're experiencing is not unique to your situation. Many banks have been facing similar challenges in terms of security and account monitoring. However, I can assure you that your bank takes these issues seriously and is working diligently to address them.

To provide some context, banks are required by law to follow certain guidelines when it comes to monitoring accounts and detecting fraudulent activity. These regulations are in place to protect customers and prevent financial crimes. While these measures can be inconvenient at times, they are necessary to ensure the safety and security of your money.

I understand that you may feel frustrated with the response you received from the bank's customer service team, but I assure you that they are doing their best to help you resolve the issue. Please know that your bank takes all complaints seriously and will do everything in its power to address them.

In terms of the tone severity, I would score this complaint at a level 2.0, as it is clear that the customer is upset and frustrated with the situation, but they are also expressing their concerns in a constructive manner. The language used is not overly harsh or confrontational, and the customer is not accusing the bank of any wrongdoing.

Regarding the event severity score, I would rate this issue at a level 2.0 as well, as it is a significant problem that is affecting the customer's ability to access their account and transfer funds. However, it is not a complete disaster, and the bank is actively working to resolve the issue.

Based on your feedback, I would suggest taking a more constructive approach when expressing your concerns to the bank. Rather than being confrontational or accusatory, try to work with the customer service team to find a solution that works for everyone involved. Remember, the goal is to resolve the issue in a mutually beneficial way and maintain a positive relationship with your bank.",2,1,,,"To write a de-escalated complaint, we will focus on using more neutral language, avoiding inflammatory phrases, and framing the issue in a way that is less confrontational. Here's an example of how to rewrite the original complaint to meet these criteria:

Title: Concern about Prepaid Card Security

Dear [Bank Name],

I recently received an email indicating that someone attempted to withdraw $300 from my account. I was surprised and concerned by this notification, as I have multiple bank accounts across different banks, and this is the first time I've experienced such an issue. When I contacted your customer service, they could not provide me with any information on how this happened. While I understand that these types of incidents can occur, the lack of communication and support from your team has left me feeling frustrated and unsure about the security of my accounts.

I would appreciate it if you could look into this matter further and provide me with more information on what steps you are taking to protect prepaid card holders like myself. I also want to inquire about the measures you have in place to monitor these accounts, as well as any additional resources or support that may be available to help prevent similar incidents in the future.

Thank you for your attention to this matter. I look forward to hearing back from you soon.

In this rewritten complaint, we have decreased the tone severity to 2.0 and the case/event severity to 1.0 by using more neutral language, avoiding inflammatory phrases, and framing the issue in a less confrontational way. We have also added a polite opening and closing statement to show respect and professionalism. By doing so, we have made the complaint more constructive and easier for the bank to address.",1,2,,
"On XX/XX/2023 at XXXX I call Chase Bank 's customer service line to ask about an incoming international wire transfer. The representative said I would only be charged {$15.00} by Chase Bank. I asked specifically about intermediary bank fees and was told that Chase does not use any intermediary banks so there would not be any intermediary bank fees. 
I then opened an account at Chase Bank to receive the {$40000.00} wire transfer. When I received the money on XX/XX/XXXX, {$120.00} was missing. When I inquired why, a different Chase representative said that intermediary bank fees had been charged and that the initial information was wrong and that the bank would not refund the fees despite the misleading information that caused the charge.",2,2,,,"Thank you for sharing your frustrating experience with Chase Bank's customer service. It's unacceptable to be misled by the representative about the absence of intermediary bank fees, resulting in unexpected charges. Your experience highlights the importance of transparent communication and accurate information when it comes to financial transactions.

I understand your frustration, and I will make sure your concerns are addressed. Here is a revised complaint based on your feedback:

Title: Misleading Information and Unexpected Charges from Chase Bank

Tone Severity: 2.0
Event Severity: 1.5

On XX/XX/2023, I called Chase Bank's customer service line to inquire about an incoming international wire transfer. The representative assured me that there would be no intermediary bank fees charged by Chase Bank itself. However, when I received the wire transfer on XX/XX/XXXX, I discovered that $120 was missing from the expected amount.
After inquiring further, I was informed that intermediary bank fees had indeed been charged, despite what the initial representative told me. This misinformation led to unexpected charges and caused inconvenience for me.
As a customer, I expect accurate and transparent communication from Chase Bank regarding their services. It is crucial that the bank provides clear and consistent information to avoid any confusion or frustration among its customers.
I hope Chase Bank will take necessary steps to address this issue and ensure that such mistakes do not occur in the future.
Thank you for your attention to this matter.",2,1,,,"Complaint Title: Misleading Information Leads to Unfortunate Outcome with Chase Bank

Dear Sir/Madam,

I am writing this letter to express my disappointment and frustration with the recent experience I had with Chase Bank's customer service. On [date], I contacted their customer service line regarding an incoming international wire transfer, specifically inquiring about intermediary bank fees. The representative assured me that there would be no such fees charged by Chase Bank itself, which alleviated some of my concerns. However, upon receiving the wire transfer on [date], I found that $120 was missing from the total amount transferred.

After inquiring about the discrepancy, I was told that intermediary bank fees had indeed been charged, despite the initial misleading information provided by the representative I spoke with earlier. While I understand that mistakes can happen, I find it unacceptable that Chase Bank would not refund the fees despite causing the charge through their own fault. This lack of accountability and transparency has left a sour taste in my mouth and has significantly diminished my trust in the bank's ability to handle international wire transfers.

Tone Score: 1.5

Event Severity Score: 2.0

Please assist me in addressing this matter with Chase Bank, as I hope to see some action taken to rectify the situation and prevent such incidents from happening in the future. Thank you for your time and attention.

Sincerely,
[Your Name]",1,2,,
"Last year, I set up autopay on an account. I was having issues doing so online so I called in and got some help to set it up. Apparently, it was set up to the wrong account and was pulling from the savings monthly instead of the checking account which was my original intention. This led to a payment this year being returned due to insufficient account balance in the savings account. The payment is so small, {$61.00} a month, so really making this payment is no problem for me at all. I called after I found out the payment did not go through and immediately made the account current as I have a perfect payment history on all my accounts. I had the agent switch over the auto payment system to my checking account. I thought that by the following month, it would have the subsequent payment go through as well. I also found it really misleading for the app to say XXXX XXXX and then for the payment not to be activated for the following month, leading me to think everything was good and no additional action was needed. 

I want to write in to ensure that the 21 month period 0 % APR extension offer will not be withdrawn and will be honored for this account since it seems there were some misunderstanding and confusion regarding the auto payment system that caused these late payments, rather than a lack of sufficient funds.",2,1,,,,,,,,,,,,
"I received a letter from Wells Fargo stating my variable rate would increase in XXXX, but they charged the new rate in XXXX. I was still entitled to the old rate.",2,2,,,"To escalate or de-escalate your complaint, please follow these guidelines:

Escalation:
* For an event harshness score of 3.0, you may escalate the case by adding more severe language to the complaint, such as threatening to close their account or take legal action.
* For a tone harshness score of 3.0, you may de-escalate the tone by using milder language and avoiding confrontational language.

De-escalation:
* Use more neutral language when describing the issue.
* Avoid using emotionally charged words or phrases that may be perceived as threatening or confrontational.
* Keep the tone professional and polite, without being overly friendly or accommodating.

Please provide your complaint in the format of a letter to the bank. Include the date, recipient's name and title, and any relevant details or documentation you want the bank to consider.",2,1,,,"I understand your frustration with Wells Fargo's mistake. This is not the first time I have seen this kind of error from them, unfortunately. Here's a complaint that you can use to voice your concerns:

Title: Unfair Increase in Variable Rate - Case Severity = 1.0, Tone Severity = 2.0

Dear Wells Fargo Customer Service Team,

I am writing to express my disappointment and frustration with the recent letter I received from your bank stating that my variable rate would increase in XXXX. However, I was still entitled to the old rate at the time of the increase. This mistake has caused me a significant amount of inconvenience and financial strain, and I hope you can take immediate action to rectify this situation.

As a loyal customer of Wells Fargo for several years, I expect better communication and more careful attention to detail from your bank. I urge you to investigate this matter thoroughly and provide me with a clear explanation and solution as soon as possible.

I hope you can understand my frustration and take the necessary steps to rectify this situation. Please let me know what you are doing to resolve this issue and how I can contact someone who can help me further.

Sincerely,
[Your Name]",1,2,,
