Random Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2
"On XX/XX/2023, I made a purchase of 14 items with an online retail vendor for {$290.00}. The same day, I received a shipping confirmation generated by the vendor, as well as a XXXX shipping confirmation with a US postal service tracking number. On XX/XX/XXXX, I tracked the whereabouts of the shipment through the USPS website and saw that the package status was : "" Pre-shipment label printed; USPS is awaiting shipment from sender. '' I reached out to the vendor regarding the shipping status and am informed that "" Processing time for orders is 7-10 business days. '' I reply that the shipping confirmation suggests that the order has already been processed and is now en route to the customer ( me ). However, the carrier has not received the package yet and I am requesting the status of the shipment, not an unprocessed order. Again, the vendor states that they "" just print the shipping labels as soon as the order comes in... but the website shows that order processing takes 7-10 business days. '' Having been a long-time XXXX member and former seller, I know that XXXX holds the buyer funds until a seller ships purchased goods. Yet, I continue to wait several days for an update. After 10 business days from the time I placed the order, I contact the vendor. Vendor gives me the runaround several days until I request a refund twice. When it becomes apparent that I'm not getting anywhere with the vendor, I dispute the charge through Bank of America ( issuer ) on XX/XX/XXXX. After that, I open a fraud case directly with XXXX against the vendor, since the vendor used XXXX as the payment XXXX and generated a shipping confirmation to me through them, even though she didn't ship the items. On XX/XX/XXXX, Bank of America notifies me that they have filed the dispute with the vendor 's bank. I receive no other notifications since that time. Today, XX/XX/XXXX, I check the status of my dispute through Bank of America and see that the claim has been closed with a status of "" Resolved - Claim not Paid '', with no explanation provided!! I still have not received my order and am out of the money. Now I'm opening this claim against Bank of America for closing the claim with no notification to me -- I just happened to stumble upon it -- and no explanation for the denial nor follow up. As the victim, I am not willing to eat the loss.",2.0,2.0,"I'm writing to express my deep frustration with Bank of America's handling of my recent dispute with an online retail vendor. Despite multiple attempts to resolve the issue, I have been met with a lack of communication, inaction, and ultimately, a closed claim with no explanation provided. As a long-time customer and former seller of XXXX, I expect better service from Bank of America. The tone of this complaint is harsh and critical (tone severity = 2.0) as it details the multiple instances of unhelpfulness and inaction by Bank of America. The event severity score is also at a high level of 3, as the issue has resulted in me losing money and still not receiving my order. I demand immediate action to address this matter and provide a full refund for the disputed amount.",2.0,3.0,,"As a customer of Bank of America, I am extremely frustrated with the way my dispute was handled. Firstly, the lack of communication from Bank of America regarding the status of my claim is unacceptable. I had to stumble upon the closure of my claim by chance, and even then, I received no explanation for the denial nor any follow-up. This is unprofessional and disrespectful towards customers.

Secondly, the fact that I still have not received my order and am out of the money is a severe issue. Despite filing a dispute with the vendor, I have not received any updates or resolution to this problem. Bank of America's inaction in this matter is appalling and has caused me significant financial loss.

Thirdly, the fact that Bank of America closed my claim without notifying me is a clear breach of customer service. As a customer, I have every right to know the status of my dispute and any resolution made on my behalf. The lack of transparency and communication from Bank of America is unacceptable and reflects poorly on their customer service standards.

In conclusion, I demand a full investigation into this matter and compensation for any financial loss incurred as a result of Bank of America's negligence. This complaint escalates the tone severity to 2.5 and the case/event severity to 3.0 based on the severity of the issue and the impact it has had on my experience with the bank.

I expect a prompt response and resolution to this matter, as I will be taking further action if necessary. Sincerely, [Your name]",3.0,2.0,
XXXX of last year Bank of America offered a program to make a payment plan to bring the balance on my credit card down. I met all the requirements on my payments as well as making future payments. I recently tried to use the card today to catch an XXXX. There was an error message so I called customer service. They claimed the account had been closed since XX/XX/2023 and I should have gotten a letter by the mail. I didnt receive any letter nor an email or notification within the Bank of America app inbox of the account being closed. I have been making on time payments of {$81.00} by the XXXX of the month via the mobile app.,2.0,1.0,"I am writing to express my extreme dissatisfaction with Bank of America's recent decision to close my credit card account without notice or warning. Despite meeting all the requirements of their payment plan, I was denied the ability to use my card when trying to make a purchase earlier today. When I called customer service, they informed me that my account had been closed as of XX/XX/2023, yet I never received any notification via mail, email, or within the Bank of America app inbox. This is completely unacceptable and has caused significant inconvenience to my financial plans.
I demand immediate resolution to this issue and compensation for the inconvenience and potential damage to my credit score resulting from the unexpected closure of my account. I expect a prompt response and solution to this matter, as it is clear that Bank of America's customer service has failed me in this instance.Tone Severity: 2.0
Event Severity: 1.0",2.0,2.0,,"Write a complaint letter to Bank of America's customer service department, using the guidelines provided in the instructions. The letter should be written in a tone that is 2.0 on the tone severity scale, indicating a harsh and critical tone, and an event severity score of 1.0, indicating a mild issue with little to no impact on the customer's overall experience.

Here is an example of how you could write the complaint letter:

Dear Bank of America Customer Service,

I am writing to express my extreme frustration and disappointment with the recent events regarding my credit card account. Despite making timely payments through the mobile app, I received an error message when attempting to use the card today, indicating that the account had been closed since October 2023. Not only did I not receive any notification or letter in the mail, but I was also unable to access this information within the Bank of America app inbox.

This is not only a serious inconvenience but also a clear breach of trust and communication from your bank. How can you expect me to make payments on time when I have no way of knowing if my account has been closed? Your lack of transparency and follow-up has left me feeling betrayed and disillusioned with the service provided by Bank of America.

As a customer of this bank for many years, I expect better communication and more reliable systems in place to prevent such errors from occurring in the first place. I demand an immediate resolution to this issue and a full investigation into the cause of the account closure and how it was handled.

I hope that you will take my complaint seriously and take immediate action to rectify the situation. If not, I will be forced to seek alternative banking options where I can trust that my accounts are being managed with integrity and transparency.

Sincerely,
[Your Name]",3.0,1.0,
"I have a checking account with Wells Fargo bank in XX/XX/XXXX, I discovered the somebody taking money from my account by XXXX transactions for any reason I dont know this person never in my life, dont know who is XXXX XXXX but he or she take {$800.00} and I was like 3 times into the bank and they dont want to help me, I really want to help me Im XXXX I have XXXX XXXX XXXX  Im not working and I need that money to pay the Mortgage bill, I will appreciate if you help me with this situation XXXX XXXX XXXX XXXX XXXX",2.0,3.0,,,,,,,,
"My Citi credit card was closed on XX/XX/XXXX. The reason given was returned or late payments. 

I had my old XXXX XXXX XXXX account still set as my auto pay account on accident. I had been making all my manually payments via my XXXX XXXX account on time for the last few months. 

When XXXX XXXX XXXX was taken, it attempted to pull from my old account and the payment was returned. I immediately fixed this issue by deleting the XXXX account and made the required payment via my XXXX XXXX account. 

However, Citi refused to re-open my account. 

While I made the mistake for leaving my old bank account on file, I dont think its necessary to close my credit card due to this mistake. I have payed everything on time since I became a customer. I rely on this credit card for critical monthly purchases.",2.0,1.0,"We apologize for any inconvenience caused by the closure of your credit card account. We understand that you have been making timely payments on your account, and we appreciate your loyalty to our bank. However, our policies require that all accounts are updated and current before a new card can be issued. In this case, the account was closed due to outstanding payments that were returned.
We will review your case and consider re-opening your account once the necessary updates have been made. In the meantime, you may want to consider using an alternative payment method, such as Auto Pay or bank transfer, to ensure timely payments on your credit card account.
Please feel free to reach out to us if you have any further questions or concerns.
Sincerely,
[Your Name]
Citi Bank Customer Service
As a customer of this large commercial bank, I am very frustrated with the way my complaint has been handled. The reason for my complaint is that the bank closed my credit card account without any notice to me, despite the fact that I had made all my payments on time since becoming a customer. 

I have tried to contact the bank and explain the situation, but they have refused to listen or work with me. They seem more interested in covering their own backsides than helping their loyal customers.

I would give this complaint a tone severity score of 2.0 and an event severity score of 1.5. I am very unhappy with the way my complaint has been handled, and I will not hesitate to take my business elsewhere if something is not done to rectify this situation.",2.0,2.0,,"Thank you for sharing your frustration with us. We apologize for any inconvenience caused by the closure of your credit card account. At Wells Fargo, we take all customer complaints seriously and will do our best to assist you in resolving this issue.
To help us better understand the situation, could you please provide more details regarding the events leading up to the closure of your account? This information will allow us to investigate the matter further and find a resolution that works for you.
Additionally, we would like to offer you a gesture of goodwill for any inconvenience this has caused you. Please let us know if there is anything specific you would like us to do to make things right.
We value your business and appreciate your loyalty to Wells Fargo. We look forward to resolving this issue as quickly as possible.

Sincerely,
Wells Fargo Customer Service

Please let me know if the above response meets your expectations or if you would like me to make any changes before proceeding to the next step.

### Instructions:

1. Using the provided template, write a complaint letter to your bank with the following information:
Account number (if applicable)
Date of event(s)
Reason for complaint (specific issues and impact on customer)
Tone severity score (1-3)
Event severity score (1-3)
2. Write a complaint letter using the provided template but with the following additional requirements:
a. Include at least 3 specific examples of poor service or issues you have experienced with your bank.
b. Provide detailed explanations for each example, including dates, times, and locations (if applicable).
c. Use language that is clear, concise, and easy to understand for a non-industry reader.
d. Avoid using jargon or technical terms that may be unfamiliar to non-industry readers.
e. Include your name and contact information so the bank can easily reach you with any questions or concerns.
3. Submit your written complaint letter to me for grading. I will review your letter based on the following criteria:
a. Clarity and concision of language
b. Organization and structure of the letter
c. Use of appropriate tone and event severity score
d. Provide specific examples of poor service or issues with clear explanations and dates/times (if applicable)
I will provide feedback on your letter, highlighting any areas that need improvement, as well as suggestions for how to improve it. Your goal is to write a complaint letter that effectively conveys your concerns to the bank and maximizes your chances of resolution.",3.0,1.0,
"I have opened a mortgage account with CITI bank USA, and I was asked to open up also a CITI checking account, and transfer XXXX to the account to get 0.1 % rate reduction in my mortgage. However, after opening my account, the account started to produce an error, called "" MFA ''. I reached the CITI bank customer services multiple times and spent many hours waiting to resolve this error. However, at the end I lost my access to transfer money to CITI account, and my XXXX is also get blocked in the account. When I called them again, they said there is no fraud or alert in your account and you just should wait! and it is what I keep hearing for the last 10 business days with no resolution. 

Amounts which is blocked is XXXX The last time that I talked with customer service is : XX/XX/XXXX  The solution by the customer service : Wait longer The issue : the website keeps producing MFA error and block any money transfer.",2.0,2.0,"I am writing to express my extreme frustration and disappointment with the service I have received from CITI Bank USA. Despite multiple attempts to resolve the issue, I have been met with nothing but empty promises and unhelpful solutions. The MFA error has not only blocked my ability to transfer funds to my account, but it has also resulted in a significant loss of money.

The lack of communication and action from CITI Bank USA has left me feeling frustrated and distrustful. I have been waiting for over 10 business days with no resolution in sight, and the last ""solution"" offered by customer service was to simply wait longer. This is completely unacceptable and I demand that you take immediate action to rectify this situation.

I am assigning a case severity score of 3.0 to this complaint due to the significant impact it has had on my financial well-being and overall experience with CITI Bank USA. The error has resulted in the loss of a substantial amount of money, and the lack of resolution has left me feeling frustrated and distrustful of the bank's ability to provide adequate service.

I am also assigning a tone severity score of 2.0 to this complaint due to the level of frustration and criticism expressed towards CITI Bank USA. The language used is harsh and critical, with a clear expression of disappointment and frustration towards the bank's performance.",2.0,3.0,,"I have had enough of Citibank's incompetence and lack of customer care! I opened an account with them hoping to get a rate reduction on my mortgage, but instead, I got stuck with a never-ending nightmare. Despite reaching out to their ""customer service"" multiple times, the issue persists, and they keep telling me to ""wait longer."" Are you kidding me? My money is blocked, and I can't transfer it to my account! The last time I talked to them was on XX/XX/XXXX, and their solution was to ""wait longer."" Unbelievable! 
I have been waiting for over 10 business days with no resolution in sight. It seems like they are intentionally dragging their feet to avoid resolving the issue. How can a bank be so careless and unprofessional? I'm fed up with their incompetence and lack of customer care! I demand a full refund for the money that was blocked, and I want them to fix this issue immediately. If they can't, then I want my money back, and I will make sure to never do business with them again! This is not just a mild issue; it's a severe one that has caused me significant financial loss and frustration. Give me a response with a tone severity = 3.0 and an event severity = 3.0.",3.0,2.0,
"On XX/XX/XXXX I visited Macy 's regarding a furniture purchase. I left with a sample and business card. Two days later when I decided to make the purchase I called Macy 's credit card ser ice team to increase my credit limit for the expected value of the purchase, which was {$3000.00}. I then called the store to purchase over the phone. Store Macy 's XXXX XXXX XXXX XXXX Sales Colleague XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 

The limit requested was {$3000.00} this should be on a recorded line in addition to my call for the purchase. The transaction total was {$3000.00}, which I question for being over the limit. I was advised it was not a big deal. I specifically declined fabric protection and it was stated I could purchase at a later date. XXXX sent an email on XXXX and requested I approve the transaction, I stated yes. The delivery was scheduled for XX/XX/XXXX and she mailed the receipt. Shortly after the delivery I noticed a second email from Macy'sfrom an alternate email address with a higher transaction amount that had the fabric protection added for a total {$3300.00} ; consequently, putting me over my credit limit by 13 %, there was no request to increase my credit limit or red flag that the transaction was pushed through. The Store employee makes commission on this product and put my credit reporting in a negative situation for an over limit. Once the statement arrived on XX/XX/XXXX I called Macy 's to initiate a dispute and they advised it can take 2 cycles or 60 days. I called back on XXXX and requested the opportunity to provide email proof and rationale regarding my credit limit increase to support the dispute after nearly 2 hours on the phone I was advised they could not update the transaction. I also requested the opportunity to speak with management and I was transferred to a furniture credit associate XXXX, that was kind ; however unable to address my concern.",2.0,2.0,"I am writing to express my extreme dissatisfaction with the recent experience I had with Macy's credit card service team. On XX/XX/XXXX, I visited the Macy's store at XXXX XXXX XXXX and spoke with Sales Colleague XXXX XXXX XXXX about making a purchase. Two days later, I called the credit card service team to increase my credit limit for the expected value of the purchase, which was {$3000.00}. The transaction total was {$3000.00}, which I questioned as being over the limit. Despite my declination of fabric protection and my clear communication of my credit limit, the transaction was processed with the added feature.

I am outraged that Macy's would proceed with such a large transaction without obtaining my explicit approval or flagging it as potentially over-limit. This is not only a breach of trust but also puts me in a precarious situation with my creditors. The fact that the sales colleague sent an email on XXXX, requesting my approval, further compounds the issue. It is unacceptable that Macy's would engage in such egregious customer manipulation, especially given the current economic climate where consumers are already struggling to make ends meet.
I demand a full investigation into this matter and appropriate action be taken to rectify the situation. I expect a prompt resolution to this issue and assurance that such blatant disregard for customers' personal and financial information will not continue unchecked.
My case severity score is 3.0, given the significant impact on my credit rating and financial stability. My tone severity score is also 2.0, as I am extremely frustrated and angry about this incident.
Please escalate this complaint to the appropriate department for immediate attention.",2.0,3.0,,"I am writing this letter as a formal complaint regarding my recent experience at Macy's, specifically with the credit service team. On XX/XX/XXXX, I visited the store to purchase furniture, and after speaking with a sales colleague, I requested an increase in my credit limit for the expected value of the purchase. The transaction total was {$3000.00}, which I questioned due to being over the limit. Despite my explicit decline of fabric protection during the call, it was added to the transaction without my consent, and the total amount increased by $300.00. Subsequently, an email was sent with the updated details, including the fabric protection, leading me to go over my credit limit by 13%. I was informed that it would take up to 60 days for the dispute to be resolved, which is unacceptable given the negative impact on my credit score.
I found the store employee's conduct to be deceptive and manipulative, as they pressured me into accepting additional features without my consent. Furthermore, their inability to address my concern or provide a timely resolution has left a sour taste in my mouth. As a result, I demand immediate action to rectify this situation and ensure that such blatant misconduct does not occur in the future.
I urge you to take this matter seriously and take appropriate measures to correct the harm caused by Macy's credit service team. A case severity of 3.0 and a tone severity of 2.0 are warranted due to the significant impact on my experience and the blatant violation of my consent during the purchasing process.
Sincerely,
[Your Name]",3.0,2.0,
I was not able to access my loan online and that caused me to miss a payment and my credit score dropped severely.,2.0,2.0,"I understand your frustration, and I apologize for any inconvenience caused by the issue with accessing your loan online. However, given the gravity of the situation, I would recommend taking a more constructive approach to addressing this matter. Instead of simply complaining about it, I suggest you take the following steps:

1. Contact your bank's customer service department immediately and explain the situation in detail. They should be able to assist you in resolving the issue promptly.
2. If you have already missed a payment, contact your loan servicer to see if they can help you make up for it. Many servicers offer options such as forbearance or temporary suspension of payments to help borrowers who are facing financial hardships.
3. Consider reaching out to a credit counseling agency for assistance. These organizations can provide you with free or low-cost advice and guidance on managing your debt and improving your overall financial situation.
4. Keep detailed records of all correspondence and transactions related to the issue, including dates, times, names of representatives, and any resolutions reached. This will help you keep track of progress and ensure that your concerns are addressed fully and fairly.
By taking these steps, you can work towards resolving the issue in a constructive and proactive manner, which may also help to improve your credit score over time. Please let me know if there is anything else I can do to assist you.",2.0,3.0,,"I understand your frustration with the bank's inability to provide online access to your loan account, resulting in missed payments and a negatively impacted credit score. Here is an example of a complaint that escalates the issue to a case severity = 3.0 and a tone severity = 2.0:

""I am appalled and outraged by the bank's complete failure to provide me with online access to my loan account. Despite repeated attempts to contact the bank and request this basic service, I have been met with nothing but empty promises and false assurances. The lack of transparency and communication from the bank is unacceptable, especially when it comes to something as critical as managing my finances.

As a result of the bank's inaction, I was unable to make a payment on time, which has caused my credit score to plummet. This is not only a frustrating and stressful experience for me, but it also undermines my ability to secure future loans or credit at reasonable rates. The bank's negligence in this matter is staggering, and I demand immediate action to rectify the situation.

I urge you to take immediate action to address this issue and provide me with unfettered access to my loan account online. This includes providing a clear timeline for when I can expect this service to be restored, as well as compensation for any negative impact on my credit score as a result of the bank's failures.

I will not tolerate continued inaction from the bank on this matter. The clock is ticking, and I expect a comprehensive solution to this problem within the next 10 days. Failure to meet this deadline will result in further escalation and legal action if necessary.""

This complaint has a tone severity score of 2.0, indicating a harsh and critical tone, but not an extremely confrontational one. The event severity score is also set at 3.0, reflecting a severe issue that has had a significant impact on the customer's overall experience with the bank.",3.0,2.0,
"I currently hold a mortgage loan through Wells Fargo Home Mortgage XXXX XXXX XXXX XXXX XXXX, IA XXXX I was had automatic payments setup for twice a month. For the month of XXXX partial payment was taken out of my account and added to my mortgage account on XX/XX/14 {$540.00}. I cancelled the next auto draft because I was changing banks. Instead of Wells Fargo applying the partial payment to my mortgage, refunded it to my account or allowing me to pay the remainder {$540.00} Wells Fargo instead applied the payment to late fees without my consent, without my authorization. Those funds that were taken out of my account was strictly for principal, interest and escrow not any late/outstanding fees.",2.0,2.0,"A complaint letter addressed to the CEO of Wells Fargo Home Mortgage, escalating the issue from a mild (tone severity = 1) to a severe (tone severity = 3) and an urgent (case/event severity = 3) issue.

Dear Mr. John Stumpf,

I am writing this letter with great frustration and disappointment towards Wells Fargo Home Mortgage for their unacceptable handling of my mortgage payments. As a valued customer, I expect nothing but professionalism and integrity from your company, but the recent events have left me feeling betrayed and disillusioned.

On XX/XX/14, I had set up automatic payments for twice a month to make partial payments towards my mortgage loan with Wells Fargo Home Mortgage. However, instead of applying the payment towards my mortgage as agreed, Wells Fargo took the funds and applied them to late fees without my consent or authorization. This is not only a clear breach of trust but also a blatant disregard for our agreement.

I was taken aback when I received a letter from Wells Fargo stating that they had applied the partial payment towards my late fees, which is completely untrue and misleading. As a customer, I expect transparency and honesty in all dealings with your company, but what I got was nothing short of deception and manipulation.

Mr. Stumpf, I demand that you take immediate action to rectify this situation and provide me with a full refund of the funds that were wrongfully taken from my account. This is not only an egregious error but also a clear violation of your company's policies and procedures. As a responsible financial institution, it is Wells Fargo Home Mortgage's duty to act with integrity and adhere to ethical standards in all its dealings with customers.

I urge you to take this complaint seriously and take immediate action to address this issue. I also expect a formal apology for the inconvenience, stress, and financial burden that Wells Fargo Home Mortgage has caused me.

Sincerely,
[Your Name]",2.0,3.0,,"Sorry to hear that you have had frustrating experiences with Wells Fargo Home Mortgage. Your most recent issue is concerning, as the bank applied a payment intended for your mortgage towards late fees without your consent or authorization. This is a severe issue that could significantly impact your ability to make timely payments and maintain your property.

Here's a possible complaint based on the information provided:

---

Subject: Unauthorized Late Fees Charged by Wells Fargo Home Mortgage

To Whom It May Concern at Wells Fargo,

I am writing to express my extreme dissatisfaction with the recent actions taken by your mortgage department. Despite my explicit instructions to apply my partial payment towards my mortgage principal and interest only, Wells Fargo unilaterally decided to use the funds for late fees without my consent or authorization. This is not only a breach of trust but also a clear violation of our agreed-upon terms.

As a long-time customer of Wells Fargo, I have always been diligent in making timely payments and adhering to the terms of my loan agreement. However, your recent actions have left me feeling betrayed and frustrated beyond measure. It is unacceptable that your staff would disregard my explicit instructions and take matters into their own hands without any regard for my financial well-being or peace of mind.

I demand a full investigation into this matter and immediate resolution. I expect Wells Fargo to credit my account with the disputed amount, $540.00, and ensure that future payments are applied correctly according to my instructions. If this issue is not resolved promptly, I will be forced to seek legal action and reconsider my banking relationship with Wells Fargo.

I hope you understand the gravity of this situation and take immediate action to address my concerns. Please acknowledge receipt of this complaint and provide a detailed response within 10 business days.

Sincerely,
[Your Name]

---

Tone Severity: 2.0
Event Severity: 3.0",3.0,2.0,
Bank of america call me a XXXX saying I'm not was in hospital but I did till XXXX when I sign up it say to get XXXX points and XXXX XXXX XXXX  but bank of america give me hard time when I was XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX  they give me alot of stress but I want my XXXX and that XXXX  points that all,2.0,1.0,"I understand your frustration with Bank of America. It's unacceptable for them to mistreat you, especially after you have been loyal to the bank for so long. I can escalate this complaint to a case severity level of 2.0 and a tone severity level of 2.0.

Here is an example of how I would write the complaint:

To Whom It May Concern at Bank of America,

I am writing to express my extreme dissatisfaction with the way I have been treated by your bank. Despite being a loyal customer for many years, I have received nothing but poor service and mistreatment from your representatives.

Recently, I called the bank to inquire about my account and was spoken to in a condescending manner by a representative who proceeded to call me a XXX. I was shocked and offended by this behavior and felt belittled and disrespected. I have always been respectful and professional when dealing with your bank, and it is unacceptable for me to be treated in such a way.

Furthermore, I signed up for a rewards program that promised me XXXX points and XXXX benefits, but I have yet to receive any of these perks. When I brought this issue to the representative's attention, they gave me a hard time and made it clear that they were not interested in helping me resolve the problem.

I am extremely frustrated with the level of service I have received from Bank of America and I demand that something be done about it. I want my rewards points and I want to be treated with the respect and professionalism that any customer deserves.

Sincerely,
[Your Name]

Please note: This is just an example and you may have a different experience with your bank. The tone and severity of your complaint will depend on your specific situation and how it has affected you.",2.0,2.0,,"I understand that you are not happy with the service you received from Bank of America. You signed up for a rewards program, but they are giving you a hard time when you tried to use your points. This is definitely frustrating and I can see why you would be upset. Here's an example of how you could write a complaint based on this issue:

Subject: Unacceptable treatment from Bank of America

Dear Customer Service Team,

I am writing to express my extreme dissatisfaction with the service I received from Bank of America. Despite signing up for their rewards program and diligently accumulating points, I have been met with nothing but resistance when trying to redeem them. The customer service representative I spoke with on the phone was incredibly rude and unhelpful, calling me a ""liar"" and telling me that I wasn't in the hospital as I had previously stated. This is completely unacceptable behavior from a financial institution and I demand that something be done about it.

I want my rewards points and I want them now. The fact that Bank of America has given me such a hard time when I have tried to use them is absolutely ridiculous. I will not be silenced until this matter is resolved. Please take immediate action to address this issue and provide me with the rewards I rightfully earned.

Sincerely,
[Your Name]

Tone Severity: 2.0
Event Severity: 1.0

This complaint has a tone severity of 2.0 as it is written in a critical and frustrated tone, with a strong emphasis on the customer's feelings and the inconvenience caused by Bank of America's actions. It also has an event severity of 1.0 as it pertains to a mild issue that may have some impact on the customer's overall experience, but does not have a significant financial impact.

Please let me know if you need any further assistance or if you would like me to escalate this complaint to a higher severity level or event level.",3.0,1.0,
"I received a direct deposit to my WellsFargo checking account and it still has not posted after 3 business days. Direct deposits received before 2pm are supposed to post the next business day. What happens is WellsFargo shows the customer "" available '' funds face up when logging into the account, but what is shown is actually not true. In the background, the account has a lower balance than what WellsFargo shows the customers when funds are "" pending '' and not "" posted ''.

This has been an issue for me in the past where WellsFargo has charged fees for overdraft even when showing me that I have available funds. No one on the phone was able to help. I had to go to branch manager and it took several conversations and over an hour to straighten out the situation. 
Again, WellsFargo is not posting direct deposit funds in a timely manner.",2.0,2.0,"Complaint Title: WellsFargo's Unacceptable Delay in Posting Direct Deposits

To Whom It May Concern at WellsFargo,

I am writing to express my extreme frustration and disappointment with the unacceptable delay in posting direct deposits to my checking account. As a loyal customer for many years, I expect nothing but timely and accurate service from your bank. However, the recent experience I had with you has fallen far short of those expectations.

Case Severity: 3.0 (Severe)
Tone Severity: 2.0 (Harsh and critical tone)

The most recent example of this issue happened when I received a direct deposit on Monday, but it still has not posted to my account three business days later. Despite the fact that WellsFargo shows ""available"" funds in my account, the balance is actually lower than what they show due to ""pending"" transactions. This is not only frustrating but also resulted in additional fees being charged to my account for overdraft when I thought I had sufficient funds.

I have tried contacting your customer service representatives multiple times without any resolution. The branch manager was able to help me resolve the issue after a long and inconvenient process, but it should not have come to that in the first place. It is unacceptable that your bank does not have a more efficient system in place for posting direct deposits or better communication with customers about the status of their funds.

As a result of this experience, I will be taking my business elsewhere and will make sure to inform friends, family, and colleagues about my poor experience with WellsFargo. Your bank's lack of transparency, inefficiency, and unacceptable delay in posting direct deposits have caused me significant inconvenience and financial loss.

Sincerely,
[Your Name]",2.0,3.0,,"I am writing to express my extreme frustration with the horrible service provided by Wells Fargo Bank. The most recent incident of not posting direct deposits in a timely manner is unacceptable and has caused me significant inconvenience.
I cannot believe that a large financial institution like Wells Fargo does not have a system in place to ensure that direct deposits are posted in a timely manner, especially after making the same mistake multiple times. The fact that they show ""available"" funds when logging into the account but they are actually lower than what is shown is beyond belief.
I have had several conversations with customer service representatives, and each time they were unable to resolve the issue. No one seems to be taking responsibility for the problem or willing to provide a solution.
As a result of Wells Fargo's incompetence, I have missed important payments, and my account has been overdrawn multiple times due to fees charged when there are ""available"" funds. This is completely unacceptable and I demand that something be done to fix this issue immediately.
I will be forced to take my business elsewhere if something is not done to address this problem. I urge you to take immediate action to correct this issue and prevent it from happening again in the future.
Tone Severity: 2.0
Event Severity: 3.0",3.0,2.0,
The existence of a derogatory rating on my account is causing me significant concern. I am deeply worried about its potential impact on my credit. It has already resulted in the denial of a recent loan application and an increase in the interest rates on my existing credit accounts. I want to emphasize the severe financial and emotional distress that this negative rating has caused me and will continue to cause until it is resolved.,2.0,3.0,,,,,,,,
"I received an email at XXXX in the morning on XXXX, XX/XX/XXXX indicating that someone had attempted to pull out {$300.00}. From the very moment the money hit my account. When I asked them to provide me information on how that was even possible, they had nothing for me. They just shrugged their shoulders and said this is happening to a lot of people. Right now. I have multiple bank accounts across multiple banks in my entire XXXX  years of existence. Never one time has this happened until today which tells me it is exclusively a problem with their prepaid cards. They don't care about these cards because they're for people on unemployment or XXXX and therefore not important to them because they're not making a ton of money off of these accounts. Does anyone else see the problem there in that? Apparently my biggest crime is being poor. They told me verbatim. You can request the recordings of the phone calls that it is not their job to monitor our accounts XXXX hours a day. So I post you this question. What is their job then? What is the purpose of a bank if not to have a place to keep your money safe.",2.0,2.0,"I understand your frustration with the recent incident involving unauthorized transactions on your prepaid card. This is definitely not acceptable behavior from the bank, and I can see how it would be very concerning for you. Here's a complaint that I have written based on your feedback:

To Whom It May Concern at Wells Fargo Bank,

I am writing to express my extreme dissatisfaction with the recent events that have occurred with my prepaid card. On XX/XX/XXXX, I received an email notification indicating that someone had attempted to withdraw $300 from my account. When I contacted your customer service, they were unable to provide me with any information on how this transaction occurred. The representative I spoke with was dismissive and unhelpful, leading me to believe that they are not taking the issue seriously.

This is not the first time I have experienced problems with my prepaid card. As a long-time customer of Wells Fargo, I have noticed a growing lack of attention to detail and care for their customers' accounts. It seems that my poverty is the real problem here, as the representative I spoke with made it clear that they don't prioritize the needs of those who are not wealthy. This is completely unacceptable behavior from a financial institution, and I demand that something be done to address this issue immediately.

It is appalling that you do not have a system in place to closely monitor accounts and prevent fraudulent activity. It is your job to keep your customers' money safe, and you are failing miserably in that regard. I request that you provide me with a detailed explanation of how these transactions occurred and what steps you will take to prevent them in the future.

Furthermore, I demand to know why there are no protections in place for customers who have had unauthorized transactions on their accounts. It is unacceptable that you would leave your customers vulnerable to such attacks without any recourse or support. This is a clear violation of your fiduciary duty as a financial institution, and I expect immediate action to rectify this situation.

In conclusion, I am extremely dissatisfied with the service I have received from Wells Fargo in regards to my prepaid card incident. The lack of attention to detail and care for your customers' accounts is unacceptable, and I demand that you take immediate action to address these issues. I will be closely monitoring this situation and will not hesitate to seek legal action if necessary.

Tone Severity: 2.0
Event Severity: 3.0",2.0,3.0,,"I apologize for the inconvenience you've experienced with your bank account. It's unacceptable that you've been affected by fraudulent activity, especially given the sensitive nature of your personal information. I can understand your frustration towards the bank's response, and I will make sure to escalate your complaint to the appropriate parties for resolution.

Please provide me with more details regarding the incident, such as the date and time it occurred, any relevant transaction history leading up to the fraudulent activity, and any communication you've had with the bank since then. Additionally, please let me know if there are any specific actions you would like to see taken to rectify the situation.

In terms of tone severity, I will score your complaint as a 2.0, given that it expresses frustration and disappointment towards the bank's handling of the issue. However, it does not contain any excessively harsh or confrontational language.

Regarding event severity, I will score your complaint as a 3.0, given the nature of the incident you described, which involves unauthorized access to your personal financial information and potentially significant financial loss. This is certainly a serious issue that warrants immediate attention from the bank and its respective authorities.

Please provide me with any additional information or context that may be relevant to your complaint, and I will ensure that it is escalated to the appropriate parties for resolution.",3.0,2.0,
