Random Complaint,Tone Severity,Case Severity
"I signed up for the Chase Bonvoy Marriott credit card XX/XX/2023. They were offering a sign on bonus. I was looking forward to getting the points for future stays at your hotels. If I charged {$3000.00} to the credit card in the first 90 days, they would give me XXXX certificates for free nights and one free night yearly. The Marriott credit card never arrived so I was not able to activate it or use it. They billed me {$95.00} for the annual fee immediately upon my signing up for the card and sent me a bill. It was not until I called them and asked where the card was, they informed me that my first bill was past due. I got them to send me a new card and started using it and immediately paid the {$95.00} bill. I charged {$3000.00} in the next XXXX months and waited for my Marriott bonuses to arrive in my Marriott Bonvoy Account. Unfortunately they never did. I then called your customer service and they said to call Chase. Chase said the {$95.00} did not count and therefore I was not eligible to get the sign up bonus as I was just under the {$3000.00} spend. I asked for a special exception as I was so close to the {$3000.00} and they said NO. So I asked for a refund of my {$95.00} and they said they couldn't give me that either. So I asked them to close my account since they did not provide me with the satisfaction and the performance of those terms according to the credit card agreement I then contacted Chase and after a few calls I was told I WOULD get my {$95.00}. After months of not receiving the refund back, I called several more times. The last time I called, I told them I felt like I was getting ghosted. They finally called me back on XXXX  and told me that they will not refund my {$95.00} because I did not close it according to their terms.. They record the calls and they claim the can not find the call of the representative that told me I would get my {$95.00} refund. Since Marriott is promoting this card in all their Marriott locations, I would like Marriott to be part of this compliant also. Both will not refund my {$95.00} which I am due because they did not give me what was agreed upon sign up for the card. Chase is very cutthroat with their customers when you have an issue with their credit card. When you complain they close your complaint out in XXXX days and make a determination in their favor. If you complaint to the XXXX about them. They just respond and say you can't get a refund based on their policy. A representative told me I would get a refund and now even though they record all calls they can not find that particular recording. I want my {$95.00} refund. Their policy not to refund a customer who did not get the satisfaction promised is deceitful and misleading. They do not want to give me what was promised to me a refund of my {$95.00}.",2,2
"Made a large check deposit and a hold was placed on check. Check cleared and bank closed account. Asked for a review and provided all documentation of money source and was denied a review after receiving all proof and documents. Spoke with numbers agents who gave different wrong amounts to me as the balance. Said the check was altered from the Department of Treasury, lied and said they were returning the funds to IRS then lied and said waiting for IRS to request funds back and different versions to what was the delay. I asked to have check returned and was denied even after submitted IRS documentation. The IRS says checked cleared and the money is there but bank refuses to give funds to me and closed account without valid reason and did not return ending balance in account. Now Im in danger of losing my business after 3 months of going back and forth and being provided wrong info from each bank representative",2,3
"I received a notice on XX/XX/2023 from XXXX XXXX that my account was going to be closed due to "" Unsatisfactory credit and/or derogatory public record references ''. But they didn't how they determined this. No credit bureau information was listed. 

I have credit scores from all XXXX companies in the high XXXX, and I have never paid a credit card or loan late, so this is a complete shock to me. I tried to call their number but they said I had to do it in writing. So I wrote them a letter. This week it was reported on my XXXX credit report that XXXX had closed my account. But they never bothered to get back to me. 

I got a notice today saying they needed to get in touch with me. So I called the number on the notice, but there was no way to talk to a human being. 

I don't care about my credit card since I don't really use it, but it really disturbs me that they are saying I have bad credit when I don't.",2,3
"Bank of America has charged me a {$12.00} monthly maintenance fee several times incorrectly. I have called in the past and have been able to rescind the fee. However, in XXXX of 2023 it happened again. I called XX/XX/2023 ( spoke with XXXX in Florida and XXXX in North Carolina, 2 bank of America employees ) and explained the fee was charged even though I maintained the daily minimum balance required by the bank to have the fee waived. This is evident in my bank statements. There was no follow-up action or call to my request and query. The fee has been charged once again this month ( XX/XX/2023 ) and I again am awaiting a call back from Bank of America to explain once again why the fee is being charged even though it is clear the conditions for a free checking account are being met.",2,2
"To Whom It May Concern, I am writing to report an incident of identity theft that has had a significant impact on my life. I believe that the following information constitutes a clear case of identity theft, and I request the Federal Trade Commission 's assistance in resolving this matter. On XX/XX/2023, I became aware of the unauthorized activities and financial transactions on my account from citicards cbna, which I believe to be a result of identity theft. I noticed unapproved credit account in my name, and suspicious monthly payments as well as a incorrect address I never resided in.",2,3
"On XX/XX/2023, I called Citi to report fraud on my credit card. They had sent me messages about potential charges which I was able to catch before they went through. I mentioned on this date by way of phone as well that although they caught most of the fraud charges HOWEVER XXXX total charges for {XXXX for "" XXXX XXXX XXXX XXXXXXXX XXXX  '' ( so XXXX total ) were pending. They said "" don't worry about it, it will drop off ''. On XX/XX/XXXX I called to let them know that these charges did NOT drop off but posted. They started a fraud dispute. 

On XX/XX/XXXX, Citi requested I sign XXXX sheets of paper which I sent back by way of email to XXXX on XX/XX/XXXX for the XXXX charges. See attached for the exact XXXX sheets of paper i sent back. ( This likely confused Citi because they stupidly asked for the same EXACT paper to be signed twice with the same exact dispute number which was XXXX, don't you think since it was XXXX transactions I would need to sign XXXX different pieces of paper with different numbers? ). 

On XX/XX/XXXX, I took a screenshot of the dispute portal because it switched to "" Thanks for sending us more info '' for XXXX fraud charge, while for the other fraud charge still stated "" We need more info ''. See screenshot XXXX! 

Thinking that was weird, that XXXX charge moved to "" Thanks for sending us more info '' and the other didn't, I resent the XXXX sheets of paper a XXXX time on XX/XX/XXXX. 

Today XX/XX/XXXX, I noticed that Citi reversed the fraud credit for XXXX fraudulent charges while issuing a credit for the other one. On XX/XX/XXXX I called with an attempt to get this resolved and was transferred at LEAST XXXX  times with no direct success. As of today there is still a reversed XXXX  bill on my XXXX  card ( the other credit for the other charge was successful ).",2,3
"I responded by phone to a mail promotion from Citibank to open a Citi XXXX XXXX XXXX Account. I used the personal invitation code provided in the document XXXX. The promotion offered a {$450.00} bonus on new funds over {$50000.00} that remained there for 60 days. The application was received by them for the opening of account XXXX on XXXX XXXX XXXX Funds well in excess of that amount were deposited on XX/XX/XXXX ( per statement ) remaining there until XX/XX/XXXX. I called several times inquiring when my bonus would be paid and on XX/XX/XXXX was told ( by XXXX ) I met all the requirements and would see the bonus in no more that 15 days. I then received a letter saying I did not open the right kind of account, although all I knew from the mailing was to open the account as titled in the mailing using the invitation code to qualify. I called to appeal speaking with XXXX ( XXXX ) and received a letter mentioning a promotion code not mentioned in the mailing. I called again to complain and again received the same letter. 
After 5 months of calling Citi for the {$450.00} I transferred the balance to another bank but feel I fully met the terms of their offer and am entitled to the bonus.",2,1
Tried sending {$400.00} from my XXXX XXXX XXXX account via XXXX to my Bank of America account and it stated payment would post to my Bank of America account today XXXX but IT NEVER DID SO WHERE IS MY {$400.00} at then!!!!????,2,2
"Wells Fargo reported to XXXX XXXX and XXXX that I had late payments in XX/XX/XXXX and XX/XX/XXXX when my account was closed in XX/XX/XXXX with a XXXX balance and NEVER LATE per the letter from Wells Fargo already sent to me on XX/XX/XXXX, attached. They even sent me a statement saying DO NOT PAY because I had a credit balance, see attached.",2,2
"Hello, This is in regards to JPMCB AUTO for an account for an auto loan. The account has since then been paid in full. After careful review, the account holder appears to be reporting an inaccuracy in payment history for XX/XX/2017. The payment was paid in full for the entire life of the loan. We called in to address the issue, the person we spoke with claimed to have the data and was happy to send it via mail but never sent anything to us. We later called back 6 weeks in XXXX and XXXX. The person on the phone told us since the account is closed, there is nothing they can do and they're unable to update the payment history. I asked to speak to someone else and or a manager, I was then advised a manager would personally call me back. No one ever contacted me. I believe this information to be inaccurate and is affecting my credit score. Please update the payment history to all 100 % payment history showing all on time payments. The account has since then been closed and has been paid in full. There is no reason to show a late payment any longer.",2,2
"I called the Wells Fargo XXXX customer sevice number this am to check on my latest debit card withdrawal because it was not showing up online or in the automated system. The customer service representative told me my checking account had been overdrawn by {$700.00} dollars. This is a lie. She said I could talk to her supervisor., but it's on record and there is nothing I can do about it.Again, This is a lie even though it is on record.",2,2
"I have a citi card that was issued around XX/XX/XXXXXXXX  the thing is the card was sent to a different adress than where i reside ... .Once they corrected that issue and i received my card i began using it at the costco XXXX XXXX XXXXXXXX  XXXX I only used the card 3 times within a day or 2. Once i recived the bill i paid for the purchaes that i made, but i was told that the card was used in many locations and different states. I told them that i had the card in my posession and I did not make the purchaes that were attached to my account. I disputed it with the credit card company, and they denied the claim because they said i still had the card in my posession. I told them that the original card was sent to a different location and that could be why other charges we added to my account ... ... ..I asked them to look up the initial adress where the card was first mailed to and thet told me they do not see any other address on file ....",2,2
I have noticed that there has been multiple unauthorized hard inquiries and other accounts that have been opened that were not made by me. I think it is unfair to feel robbed out of my own information and it be appearing on my credit report inaccurately. I have attempted to contact the companies and credit bureaus to have them removed and they said that they need a police report of some sort but I have no idea who is doing this so therefore I am un-able to file a police report.,2,2
Bank of America decided to close my account and I dont know why. I have {$500.00} in the account from a return I made on a purchase months ago. The money is in the account but Bank Of America will not let me access it or send it to me bud certified check.,2,1
"Cashier's check from a local credit union in XXXX AZ was deposited on the evening of XXXX XXXX via ATM at Bank of America in XXXX, AZ. The bank sent a notification via email stating funds would be available for withdrawal on XXXX XXXX XXXX XXXX XXXX XXXX.  The funds were not made available and after contacting Bank of America they stated funds would be available on XXXX XXXX XXXX  I asked why the notification would state XXXX XXXX and they advised it was a mistake.  The item in question is a cashier's check.  Funds have not been made available and no other notifications have been received.  The bank will not honor theirfunds availability notification we received.  Federal regulations state that cashier's check money should be made available to the depositor.  Regulation CC (12 CFR 229) implements two lawsthe Expedited Funds Availability Act (EFA Act), which was enacted in XXXX XXXX  and became effective in XXXX XXXX, and the Check Clearing for the 21st Century Act (Check
21), which was enacted in XXXX XXXX and became effective on XXXX XXXXXXXX XXXX. The regulation sets forth the requirements that depository institutions make funds deposited into transaction accounts available according to specified time
schedules and that they disclose their funds
availability policies to their customers. It also
establishes rules designed to speed the collection
and return of unpaid checks and describes requirements that affect banks that create or receive substitute checks, including requirements related
to consumer disclosures and expedited recredit
procedures.
Regulation CC contains four subparts. The first
three implement the EFA Act, and the fourth
implements Check 21. Specifically,
 Subpart ADefines terms and provides for
administrative enforcement
 Subpart BSpecifies availability schedules, or
time frames within which banks must make funds
available for withdrawal; also includes rules
concerning exceptions to the schedules, disclosure of funds availability policies, and payment of interest.

After speaking to multiple supervisors (XXXX XXXX XXXX XXXX and a few others, and pending close to three hours on the phone, the bank representatives 3 of which are supervisors could not provide an explanation as to the delay of funds and said nothing more could be done.  The funds would be available on XXXX XXXX.  I asked to speak to their legal counsel or compliance department and they said they did not have a department available to them and we were done with the call.",2,2
"Had chase card for many years. Then I had an enormous amount of unknown, unauthorized charges. They pretended to help me. took a few off but didn't really affect the large amount of fraud they were allowing. I asked for the card to be cut off. I paid it off and did not activate the new card. They sent me a new card. However they continued to allow charges to the old card, no matter how much I complained. So I stopped paying.",2,2
"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against me. XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX",2,2
"I was in bankruptcy from XXXX   after job lost and paid faithfully until dismissed in XX/XX/XXXX. In which BoA CHANGED my report from XXXX  to XXXX  FOR years XXXX XXXX XXXX, the years I was in bankruptcy and paying on time. 
Further never mailed any correspondence or bills letting me know I still owe on debt. 
I only found out by credit report monitoring. They further report currently each and every month XXXX  as past due on a debt over five years old.",2,2
"On XXXX at XXXX, Bank of America emailed me that my credit card was removed from XXXX XXXX. I checked and saw that my card was still there, but was unusable. I went to the BOA app where it said in red my card could not be reactivated. I was also unable to redeem my {$310.00} in rewards which I accumulated over two years, where in red it told me to contact BOA. I was unaware my credit card account was closed, until I called the BOA representative where even he was unable to explain why. The representative said he will send a letter today which includes the reason, but BOA system does not allow him or his supervisor to see the reason why, which is completely unreasonable considering how can he, or anyone assist me in that moment without the reason my account was closed. 

I asked what happens to my {$310.00} in rewards, which he told me he had no idea, but he was unable to process it. He said I could dispute it with the bank, but it appears that if BOA is unable to restore my account, that {$310.00} is forfeited which I can not accept. 

I received no warning, no advanced notice, and I always pay my credit card bills on time across BOA, XXXX, XXXX XXXX, XXXX, and XXXX. Nothing in my XXXX credit report reveals any wrong doing or financial misstep. I believe I am a victim of BOA malpractice because I am aware BOA recently went through a lawsuit of scamming customers, creating false bank accounts, closing accounts without legitimate reason, and withholding rewards. I believe I am now one of those people.",2,2
"I applied for a Citibank credit card several months ago and was denied ; they said my physical address didn't exist even though t 's on my license. I do NOT get mail at that address. They don't send to XXXX XXXX XXXX. I did NOT receive a card. Now my credit reporting is telling me I have a card and my credit has been impacted by it. 
Tried calling but they want card # [ which I do not have ] or SS. My SS # is not in their system. Yet XXXX says I have a card thru Citibank. 
I am afraid that someone has my card and could use it. I can NOT get through to Citibank to straighten this out.",2,2
Numerous amount takin off my card that I did not authorize.,2,3
"On Monday, XX/XX/2023, a Wells Fargo agent called me to inform me of suspicious activities in my account. He explained that he needed to verify certain transactions, and we went through each of the ten transactions individually. During this review, we identified three unauthorized withdrawalstwo of {$500.00} each and one of {$200.00}, all from non-Wells Fargo ATMs. The total amount of these unauthorized transactions was {$1400.00}. The agent asked me to confirm if my debit card was in my possession, but upon checking, I realized that I had misplaced it. When I informed him of this, he asked if I had allowed anyone else to use my debit card, to which I replied in the negative. 

As a precaution, the agent decided to deactivate my card and arrange for a replacement. During our conversation, I mentioned that I had recently sold my XXXX and had forgotten to factory reset it, potentially leaving personal information on the device. The agent filed a claim regarding this issue and assured me that I would receive my new card within 5 to 7 days. Additionally, he mentioned that they would provide an update on the claim status within 10 days. 

However, on Friday, XX/XX/XXXX, after about 10 days had passed, I had not received any updates on the status of my claim. Consequently, I decided to call Wells Fargo to inquire about the situation. To my surprise, they informed me that my claim had been denied, as they believed the unauthorized transactions were either made by me or someone I had given permission to. I vehemently explained that I had not authorized these transactions and reiterated the circumstances : the sale of my phone and the loss of my debit card. Unfortunately, they maintained their stance, stating that there was nothing further they could do to assist me.",2,3
"Issue with Ctibank which services Macy 's credit card On XX/XX/23 I called in a payment to Citibank in the amount of {$6100.00} using a Citizens bank check. On XX/XX/23, I mailed the same check by Priority mail after learning from Citizens that the bank check could only be processed in a physical format. On XX/XX/23 my Macy 's online statement showed a return check charge for {$30.00}. I called Citbank and spoke with rep XXXX who adjusted the return check charge. On XX/XX/23 my Macy 's online statement showed a balance of - {$12000.00}. I called Citibank and spoke with rep XXXX, then supervisor XXXX, then mgr XXXX who all verified the physical check was received on XX/XX/23 and was cashed on XX/XX/23 but they would hold both my return check and the physical check until XX/XX/23. They charged both payments against my account and would not apply the payment until XX/XX/23.",2,2
"Consumer Financial Protection Bureau XXXX XXXX XXXXXXXX XXXX  XXXX, Iowa XXXX Subject : Appeal Regarding Unsatisfactory Veterinary Service Dispute with Chase Freedom Card I am writing to appeal to the Consumer Financial Protection Bureau for assistance with a recent transaction dispute on my Chase Freedom card. The transaction in question pertains to a service provided by a veterinarian for the treatment of my dog and cat. The transaction took place on XXXX of XXXX with XXXX XXXX for amount of XXXX dollars. 

Briefly summarized, my pets were administered steroid injections by this new veterinarian with the expectation that it would alleviate their symptoms, including itching, swelling, hotspots, biting, and licking paws. Sadly, three days post-treatment, not only have their symptoms persisted, but they have also significantly worsened. 

Given the lack of improvement and the deteriorating health of my pets, I contacted Chase Freedom 's customer service to dispute the charge, hoping for an understanding and resolution. However, their approach towards the situation was unyielding. They suggested I consult another veterinarian and produce a statement that confirms the ineffectiveness of the previous treatment. While I understand the need for verification, I found this requirement burdensome and potentially inconclusive. A secondary veterinarian, without prior knowledge of my pets ' condition pre-treatment, would be ill-equipped to provide a definitive comparative statement. 

Furthermore, I inquired if Chase would bear the costs for this secondary consultation since it was a condition they imposed, but this was declined. It feels unjust that, in seeking redress for a service that was ineffective, I am compelled to incur further expenses, with no guarantee that they would be recouped. 

It is important to understand that my dispute is not based on mere dissatisfaction but the tangible worsening of my pets ' conditions post-treatment. It is disheartening that the resolution offered involves additional financial and emotional stress for me. 

I kindly request the Consumer Financial Protection Bureau to intervene and guide this matter to a fair resolution. I genuinely believe that I should not be held accountable for charges related to services that not only failed to deliver their promised results but also led to further complications for my pets. 

Thank you for your time and attention to this matter. I trust in the CFPB 's mission to ensure consumers like myself are treated justly in financial dealings and look forward to your guidance. 

Sincerely, XXXX XXXX XXXX XXXX",2,2
I deposited XXXX into my account and the atm said it couldnt process it and it didnt want to give it back,2,2
I dispute this debt a couple of times with expirian and they keep the same status when they didnt investigate it. This macys account on my expirian credit report.,2,2
"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against meXXXX XXXX XXXX XXXX XXXX XXXX WELLS FARGO CARD SER XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  and XXXX XXXX XXXX",2,2
"XX/XX/XXXX Citibank lowered my credit from {$11000.00} to {$3000.00}. Stating, XXXX reported I was delinquent on an account. Citi now reporting my credit score is no XXXX. XX/XX/XXXX, I provided documents to XXXX clarifying the delinquency. XX/XX/XXXX XXXX raised my credit score right back to XXXX. From XX/XX/XXXX to date, I have contacted CITI bank and asked them to correct my credit score and give me back my higher limit. XX/XX/XXXX with Citibank a supervisor ( won't give me their name ) place my COMPLANT about my credit score. XX/XX/XXXX I faxed a company of the XXXX XXXX XXXX and report showing it was XXXX. XX/XX/XXXX XXXX a letter declined. Called Citi XX/XX/XXXX and again told them the credit score is wrong. Then again on XX/XX/XXXX, XX/XX/XXXX i placed complaints Citi is reporting the wrong credit score. Citi would tell me they would check with XXXX and other agents would tell me theres nothing they can do. XXXX I called XXXX and they validated the scores of XXXX, then XXXX have been sent to the credit card and validated that Citi has NOT pulled any credit on my in 8 months. So they lied!! 
Attached is XXXX imagens from right from XXXX. Notices the scores, and dates. Also the bottom right shows todays date. More importantly, the second XXXX score states, up XXXX point from the previous months score. Proving that back in XXXX my score was XXXX which Citi shows it wasnt. They are not reporting my credit correctly",2,2
"On XX/XX/2022, my Checking account with Wells Fargo was incompetent, as I was experiencing fraud. They had stolen more than {$2000.00} out of my checking account through Wells Fargo. Wells Fargo did not even alert me of this big purchase, I had found out myself by checking my bank account at a random time. It was devastating cause they had did it twice, stolen {$2000.00} out of my account twice, and I wasnt alerted both times. It took quite a while to figure this out with Wells Fargo, but luckily the credited my stolen money back.",2,3
In accordance with the Fair credit Reporting Act this creditor has violated my right under 15 USC 1681 section 602 state i have the right to privacy 15 USC 1681 section 604 A section 2 in it also state a consumer reporting agency can not furnish an account without my written instructions under 15 USCS 1666b a creditor may not treat a payment on credit card account under an open end comsumer credit plan as late for any purpose.,2,2
"Despite the multiple previous written requests, the unverified item listed below still remains on my credit report in violation of Federal Law. You are required under the FCRA to have a copy of the original creditors documentation on file to verify that this information is 100 % true, accurate & correct. BANK OF AMERICA XXXX, XXXX XXXX XXXX XXXX, XXXXXXXX XXXX XXXX XXXXXXXX and XXXX XXXX XXXX XXXX has been reporting late payments on my report. Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or the customer service representative of the said accounts.",2,2
"We attempted numerous loan modifications, but ultimately were foreclosed on even though we submitted all requested documentation and made the necessary trial period payments.",2,3
"I am a huge XXXX XXXX consumer. I love the store. I have their close loop store credit card that I use weekly. I signed in to pay my monthly credit amount. The store card showed I had a XXXX balance, which I knew was not accurate. It took me a while to figure out that there was a drop-down arrow. When I clicked on it I could see a Visa account that showed my balance on it. I do now have a XXXX XXXX XXXX. I have declined every time the cashier has asked me to open one. I have worked very hard to keep my spending in check and keep my credit score high. I do not want another Visa. But there was a Visa account in my name with a balance on it. To make matters worse, I clicked on it to pay it and a big XXXX XXXX came up that said I have NO MINIMUM AMOUNT DUE. 
I am furious. The interest rate, like all credit cards, is high and I would have fallen for this. 
I called Citi Bank to discuss this and got nowhere. They said I was sent a letter saying this was going to happen. I never received such a letter. And I was never sent a card ... which is even weirder. It shows xxxxxxx on the online statement account so I can't even provide you my account number as requested on the next page of this complaint. 
I hope you can look into this. Seems very sketchy.",2,2
"On XX/XX/2023 I was approved for a credit card from Citibank which had a teaser promotion of 0 % interest for 21 months. At the time of application, I initiated said transfer with a balance I had at XXXX in the maximum amount of the credit given by Citibank of {$17000.00}. During this process, it appeared all was going well, account page indicated transfer was being processed and card was received in mail and activated. 

On XX/XX/XXXX, I noticed in the account that the transfer was denied and flagged as fraudulent. No contact from Citibank was made ( or at least that I received ) that there was a problem with the account and said balance transfer. 

On XX/XX/XXXX, a call was made to customer service. XXXX agents in addition to XXXX supervisor out of the XXXX XXXX had in fact stated my account was suspended and the transfer was cancelled. However, XXXX said that since "" they verified my identity, I could move forward with the transfer ''. He indicated that I would have to initiate once again and they could not on their side. I then went back to my account where I was once again blocked, and they would not allow me to participate in the transfer where the message "" LOOKS LIKE SOMETHING WENT WRONG '' message appeared. 
The path to this teaser rate/bait and switch seems to be blocked at every avenue..Was the balance transfer amount too high? Does Citibank use this as a "" teaser '' to lock unsuspecting consumers? Questions that I would like answered..",2,2
"I was told about a reclamation on my account, but was not provided with supporting legal documents. Over six weeks of this process and still no results. My account was depleted to zero balance. My social security is my only source of income-I am retired.",2,2
"I went to the XXXX XXXX in XXXX XXXX at XXXX XXXX, asked to look at mattresses and stated that i did not want my credit ran. I did not sign up for any sort of loan or loan process and was informed via XXXX XXXX that a hard inquiry was ran against my account for a loan for this company.",2,2
"This is additional letter that Im attaching to the current claims that are pending investigation. Please attach this document for Claims ID : XXXX ( {$11000.00} ), Claims ID : XXXX ( {$8900.00} ), and Claims ID : XXXX ( {$10000.00} ) The charge is in error because the items werent delivered. I ordered XXXX orders of the XXXX XXXX XXXX XXXX XXXX on XX/XX/2023, XXXX orders of the XXXX XXXX XXXX XXXX XXXX on XX/XX/2023, and XXXX orders of the XXXX XXXX XXXX XXXX on XX/XX/2023, exclusively release in XXXX. The seller promised me to deliver the items to me on XX/XX/2023, but I never received the items. Upon checking with my seller, my seller informed me that the items she received to her house were not the cups that we were expecting it to be therefore my seller agreed to send me the refund on XX/XX/XXXX because she called me stating that the cups, she received were not the cups that I placed the orders for. She made me look like a fool into thinking that all my orders were fully secured. For 2 months, she keeps reassuring me that everything was secured and on the way. I had a feeling that she did not secure because I asked her why the package barely ship now from the other province when the release was end of XXXX. She did not reply. I have done business with my seller multiple times, and this is the first time that she has not provided me the merchandise. She even has my bank information to process the refund, so I dont see the hold up from her. 

I am requesting that the errors be corrected, that any finance or other charges related to the disputed amount be credited to my account, and that I get an accurate statement. I have tried to file chargeback claim with my bank per XXXX instruction on XX/XX/2023 and today i got the results and they are denying my claims because they don't have the recovery right which is what i do not understand because XXXX clearly stated that they will help to get the funds back when my bank XXXX Bank of America ) contact XXXX and only to find out that they never did. They just contact XXXX 's bank which is XXXX XXXX. 

I absolutely do not feel protected, depositing my money with Bank of America anymore. I will be closing my account effective immediately because of the way Bank of America has been handling dispute claim and it is truly disappointed. I've been a value member for 12 years now and this is the second time i filed dispute and Bank of America decided AGAIN not in my favor Enclosed are the copies of documentation ( screenshot from my seller ) stating that she agreed to send me the refund supporting my position and experience. I will be attaching written statement from XXXX that they have my back and will work with my bank. Please correct the error on my account promptly",2,3
"I was told by Bank of America 's claims department that my provisional credit would be withheld for the duration of the investigation because of the dollar amount. The representative informed me that the investigation XXXX last til XX/XX/XXXX. 

I filed my checking transaction dispute on XX/XX/2023. I made this request after XXXX business days. 

XXXX XXXX XXXX ( c ) XXXX does not specify withholding a provisional credit while extending the investigation because of a certain dollar amount. 

I'm ok if the Bank needs more time to finish their investigation. But they are violating federal consumer financial regulations by denying my provisional credit.",2,2
"On XX/XX/2023, my scheduled monthly payment date, I scheduled a one time only online payment for the balance of my credit card debt ; the actual balance for purchases at that time was XXXX dollars ; my one time only online payment was scheduled for that amount. 
I had previously established a XXXX dollar auto pay to be paid on the same day, this is an auto pay that I had established months ago and for many months, I have been paying my balance with that auto pay amount. 

Mistakenly I did not "" uncheck '' the monthly auto pay of XXXX dollars for the pay date of XX/XX/2023, consequently, Citi requested both the XXXX XXXX time only payment and the XXXX auto pay from my bank. The XXXX was paid but the XXXX auto pay was returned as insufficient funds. 

Due to a policy at Citi Bank, Citi created a debit balance for the XXXX dollar returned funds and today they insist that I must pay the XXXX "" outstanding balance ''. I have discussed this issue with Citi Bank Customer service on three occasions, explaining my position that the XXXX dollar "" debit '' is not supported by any purchases and that the balance of my account was paid in full with the {$9000.00} one time only scheduled payment. The XXXX dollar balance is nothing more than an accounting place holder and does not represent any funds spent nor does it represent any funds due. Citi charged their XXXX dollar returned funds fee three times and I paid those fees. 

After the several conversions with customer service representatives and their managers, I've been told that the balance stands and must be paid. Customer service reps nor their managers bothered to look at my account balances- they simply maintain that a returned payment represents a debit and that I am responsible for paying that debit. ( and the returned fund fee ) Citibank Credit cards create debit balances from mistaken attempts to pay off my credit card balance equal to the attempted or mistaken payment regardless if the mistaken payment attempt is represented by any purchases or previous balance. 

After a month of arguing about the unfounded balance they closed my account and are demanding the XXXX dollar fake balance be paid. 

I am seeking to have the XXXX fake balance be recognized for what it is, an accounting place holder and be credited from my account balance. 

I'm sorry I can not provide account summaries that support my. are, once Citi closed my account they denied access to my my previous account statements. The only statement that I have access to is XXXX 's statement which shows {$6600.00} worth of purchases and the XXXX returned payment fee. I paid the {$6600.00} balance and as mentioned above I am seeking to resolve the XXXX dollar fee.",2,2
"Im writing with regard to a Citi fraud investigation related to a series of fraudulent charges to my Citi Premier card occurring on XX/XX/XXXX. The charges were attributed to a merchant unknown to us ( XX/XX/XXXXXXXX XXXX in the amounts of {$880.00}, {$3400.00}, and {$6000.00}. 

When contacted by the Citi fraud department on XX/XX/XXXX through their early fraud warning system, I was asked whether our card was in our possession. I explained to the caller from Citi that we did have at least one card in our possession, but that this was our previous Citi Thank You Card, not the new upgraded Citi Premier cards wed recently requested. 

In fact, the new Citi Premier cards hadn't arrived through the mail in a timely fashion, leading us to now believe that they may have been intercepted and used for the fraudulent charges. 

I have filed a police report with the XXXX Police Department and can provide you with the report number if needed. 

Yet, according to a letter we received from Citi dated XX/XX/XXXX, Citi has closed the investigation of these charges and is holding us responsible, citing that we had the cards in our possession. I have called twice in the interim to again explain that the cards in our possession at the time of the fraudulent charges were our previous Citi Thank You cards and not the Premier cards that were yet to be received through XXXX mail. 

Note that Citi did determine that two charges taking place on XX/XX/XXXX were indeed fraudulent, and is not holding us accountable -- making it puzzling that they did not determine the fraudulent charges on XX/XX/XXXX as related. 

Pertinent to Citi 's investigation, we also received a bill from XXXX for a fraudulent charge which appeared related to one of the disputed charges ( we are not XXXX customers ). XXXX quickly investigated, verifying that the charge was indeed fraudulent, and has notified the credit bureaus on our behalf. We have provided this information to Citi. We have also provided the XXXX Police Department police report. 

Please let us know if you need any further information from us to assist in asking Citi to reopen the investigation and reconsider their decision. 

Thank you!",2,3
