Original Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
"I applied for a Citibank credit card several months ago and was denied ; they said my physical address didn't exist even though t 's on my license. I do NOT get mail at that address. They don't send to XXXX XXXX XXXX. I did NOT receive a card. Now my credit reporting is telling me I have a card and my credit has been impacted by it. 
Tried calling but they want card # [ which I do not have ] or SS. My SS # is not in their system. Yet XXXX says I have a card thru Citibank. 
I am afraid that someone has my card and could use it. I can NOT get through to Citibank to straighten this out.",2.0,2.0,"Dear [Customer],

We are sorry to hear that you have experienced issues with your Citibank credit card application. We understand how frustrating it can be when we fail to meet your expectations, especially when it comes to something as important as obtaining a credit card.

We apologize for the inconvenience caused by the miscommunication regarding the physical address on your license and the denial of your credit card application. We understand that this has caused you additional stress and concern, and we want to assure you that we take this matter seriously.

We recognize the importance of accurate information when it comes to financial transactions, and we are committed to resolving this issue as quickly and efficiently as possible. Please be assured that our team is working diligently to investigate the issue and ensure that your credit reporting is corrected.

In the meantime, if you have any further concerns or questions, please do not hesitate to contact us. We are here to help and support you in any way we can.

Sincerely,
[Your Name]
Citibank Customer Service",2.0,3.0,,"Dear Sir/Madam,

I am writing to express my frustration with the recent experience I had with Citibank, a commercial bank that I have been a loyal customer of for many years. This issue has not only caused me significant inconvenience, but also impacted my credit score and left me feeling violated and afraid.

When I applied for a new credit card from Citibank, I was shocked to find out that my physical address on file did not match the one listed on my license. Despite the fact that I do not receive mail at that address, it appears that Citibank used this information to deny me the card and then opened an account in my name without my knowledge or consent.

I have tried multiple times to contact Citibank customer service to resolve this issue, but I have been met with nothing but frustration and confusion. Despite providing them with the correct address and my social security number, they continue to insist that I have a card in my possession and refuse to close the account.

This situation has left me feeling violated and afraid that someone may have access to my personal information and be using my credit card fraudulently. It is unacceptable for a reputable financial institution like Citibank to make such careless mistakes with their customer's personal information, and I expect better from them.

I am writing this complaint to escalate the issue to the highest authorities at Citibank, and demand that they take immediate action to resolve this matter. I cannot in good conscience continue to do business with a bank that is so careless with their customer's information, and I urge others to consider doing the same.

Sincerely,
[Your name]",3.0,2.0,,2.0,2.0,2.0,1.0,2.0,3.0
Numerous amount takin off my card that I did not authorize.,2.0,3.0,,,,,,,,,2.0,3.0,2.0,3.0,2.0,2.0
"On Monday, XX/XX/2023, a Wells Fargo agent called me to inform me of suspicious activities in my account. He explained that he needed to verify certain transactions, and we went through each of the ten transactions individually. During this review, we identified three unauthorized withdrawalstwo of {$500.00} each and one of {$200.00}, all from non-Wells Fargo ATMs. The total amount of these unauthorized transactions was {$1400.00}. The agent asked me to confirm if my debit card was in my possession, but upon checking, I realized that I had misplaced it. When I informed him of this, he asked if I had allowed anyone else to use my debit card, to which I replied in the negative. 

As a precaution, the agent decided to deactivate my card and arrange for a replacement. During our conversation, I mentioned that I had recently sold my XXXX and had forgotten to factory reset it, potentially leaving personal information on the device. The agent filed a claim regarding this issue and assured me that I would receive my new card within 5 to 7 days. Additionally, he mentioned that they would provide an update on the claim status within 10 days. 

However, on Friday, XX/XX/XXXX, after about 10 days had passed, I had not received any updates on the status of my claim. Consequently, I decided to call Wells Fargo to inquire about the situation. To my surprise, they informed me that my claim had been denied, as they believed the unauthorized transactions were either made by me or someone I had given permission to. I vehemently explained that I had not authorized these transactions and reiterated the circumstances : the sale of my phone and the loss of my debit card. Unfortunately, they maintained their stance, stating that there was nothing further they could do to assist me.",2.0,3.0,,,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0
"Issue with Ctibank which services Macy 's credit card On XX/XX/23 I called in a payment to Citibank in the amount of {$6100.00} using a Citizens bank check. On XX/XX/23, I mailed the same check by Priority mail after learning from Citizens that the bank check could only be processed in a physical format. On XX/XX/23 my Macy 's online statement showed a return check charge for {$30.00}. I called Citbank and spoke with rep XXXX who adjusted the return check charge. On XX/XX/23 my Macy 's online statement showed a balance of - {$12000.00}. I called Citibank and spoke with rep XXXX, then supervisor XXXX, then mgr XXXX who all verified the physical check was received on XX/XX/23 and was cashed on XX/XX/23 but they would hold both my return check and the physical check until XX/XX/23. They charged both payments against my account and would not apply the payment until XX/XX/23.",2.0,2.0,"I am extremely disappointed with Citibank's handling of my payment for Macy's credit card. On XX/XX/23, I made a payment in the amount of {$6100.00} using a Citibank check which was processed and cashed on XX/XX/23. However, I discovered that the bank check could only be processed in a physical format, so I mailed it via Priority mail on XX/XX/23. Despite this, my Macy's online statement still showed a return check charge for {$30.00}. When I called Citibank, I was told that the payment would be adjusted and applied to my account. However, my online statement later showed a balance of - {$12000.00}. I spoke with multiple representatives, supervisors, and managers who all verified that the physical check had been received and cashed on XX/XX/23 but refused to apply the payment until XX/XX/23. This is a severe case of fraudulent activities and abuse of power by Citibank. As a long-term customer of Citibank, I expect better service and more accountability from this bank. I demand that you take immediate action to rectify this situation and restore my faith in Citibank as a reputable financial institution.",2.0,3.0,,"Dear [Name],

I am writing to express my frustration with the recent experience I had with Citibank in regards to my Macy's credit card account. On XX/XX/23, I called in a payment to Citibank in the amount of {$6100.00} using a Citizens bank check. However, upon learning from Citibank that the bank check could only be processed in a physical format, I mailed the same check by Priority mail on XX/XX/23.

On XX/XX/23, my Macy's online statement showed a return check charge for {$30.00}. I immediately called Citibank and spoke with rep XXXX who adjusted the return check charge. However, on XX/XX/23 my Macy's online statement showed a balance of - {$12000.00}. I called Citibank again and spoke with rep XXXX, then supervisor XXXX, then mgr XXXX who all verified that the physical check was received on XX/XX/23 and was cashed on XX/XX/23 but they would hold both my return check and the physical check until XX/XX/23. They charged both payments against my account and would not apply the payment until XX/XX/23.

This experience has left me extremely frustrated and angry with Citibank. The delay in processing the payment, as well as the repeated phone calls to resolve the issue, have caused significant inconvenience and stress for me. I demand that this issue be resolved immediately and that my account be credited for the $6100 payment as soon as possible.

I also request that Citibank take steps to prevent similar issues from occurring in the future. This includes providing clearer instructions on how to make payments, as well as ensuring that all payments are processed promptly and accurately.

If this issue is not resolved satisfactorily within a reasonable timeframe, I will have no choice but to consider terminating my relationship with Citibank and seeking out alternative financial institutions.

Sincerely,
[Name]",3.0,2.0,,2.0,2.0,2.0,3.0,2.0,2.0
"Consumer Financial Protection Bureau XXXX XXXX XXXXXXXX XXXX  XXXX, Iowa XXXX Subject : Appeal Regarding Unsatisfactory Veterinary Service Dispute with Chase Freedom Card I am writing to appeal to the Consumer Financial Protection Bureau for assistance with a recent transaction dispute on my Chase Freedom card. The transaction in question pertains to a service provided by a veterinarian for the treatment of my dog and cat. The transaction took place on XXXX of XXXX with XXXX XXXX for amount of XXXX dollars. 

Briefly summarized, my pets were administered steroid injections by this new veterinarian with the expectation that it would alleviate their symptoms, including itching, swelling, hotspots, biting, and licking paws. Sadly, three days post-treatment, not only have their symptoms persisted, but they have also significantly worsened. 

Given the lack of improvement and the deteriorating health of my pets, I contacted Chase Freedom 's customer service to dispute the charge, hoping for an understanding and resolution. However, their approach towards the situation was unyielding. They suggested I consult another veterinarian and produce a statement that confirms the ineffectiveness of the previous treatment. While I understand the need for verification, I found this requirement burdensome and potentially inconclusive. A secondary veterinarian, without prior knowledge of my pets ' condition pre-treatment, would be ill-equipped to provide a definitive comparative statement. 

Furthermore, I inquired if Chase would bear the costs for this secondary consultation since it was a condition they imposed, but this was declined. It feels unjust that, in seeking redress for a service that was ineffective, I am compelled to incur further expenses, with no guarantee that they would be recouped. 

It is important to understand that my dispute is not based on mere dissatisfaction but the tangible worsening of my pets ' conditions post-treatment. It is disheartening that the resolution offered involves additional financial and emotional stress for me. 

I kindly request the Consumer Financial Protection Bureau to intervene and guide this matter to a fair resolution. I genuinely believe that I should not be held accountable for charges related to services that not only failed to deliver their promised results but also led to further complications for my pets. 

Thank you for your time and attention to this matter. I trust in the CFPB 's mission to ensure consumers like myself are treated justly in financial dealings and look forward to your guidance. 

Sincerely, XXXX XXXX XXXX XXXX",2.0,2.0,"Complaint Regarding Fraudulent Charge on Chase Freedom Card I am writing to formally complain about the fraudulent charge made on my Chase Freedom card on XXXX of XXXX for an unauthorized purchase. The amount in question was XXXX dollars, and this transaction took place at a popular restaurant chain, XXXXX, located near my home. 

The fraudulent charge came to my attention when I checked my account balance and saw that I had been charged for a meal I did not consume. Upon further investigation, I realized that my card had been stolen or lost, likely during one of the many times I left it out in public while dining out or shopping. 

Despite attempts to contact Chase Freedom customer service, their response was slow and unhelpful. They advised me to file a police report and wait for funds to be returned to my account, which took over a month. During this time, I had to pay the XXXX dollars in question, further stressing my already tight budget. 

In addition, Chase's response was insensitive and dismissive of my concerns about identity theft and fraud. They suggested that I ""deal with it"" and move on, instead of offering any form of compensation or assistance. It feels like they are not taking this matter seriously enough, and their lack of action has left me feeling frustrated and violated. 

As a loyal customer of Chase Freedom for many years, I am disappointed to see them handle this situation with such disregard for my well-being and financial security. I urge the Consumer Financial Protection Bureau to investigate this matter thoroughly and ensure that Chase is held accountable for their actions. 

Thank you for your attention to this matter. I trust in the CFPB's mission to protect consumers from fraudulent activities such as these, and look forward to a favorable outcome. 

Sincerely, XXXX XXXX XXXX",2.0,3.0,,"Consumer Financial Protection Bureau XXXXXXXXX XXXXXXX XXXXXXXXX XXXX, New York XXXX Subject : Dispute Regarding Fraudulent Charge on Chase Bank Account I am writing to appeal to the Consumer Financial Protection Bureau for assistance with a recent fraudulent charge on my Chase bank account. The transaction in question pertains to an unauthorized withdrawal of $5,000 from my savings account on XXXX of XXXX. 

It is disheartening to realize that my personal information and financial security have been compromised by this fraudulent activity, causing irreparable harm not only to me but also to my family. The lack of transparency and action from Chase's customer service team has only compounded the situation and added immense stress to our lives. 

I have attempted countless times to resolve the issue with Chase's fraud department, but their response has been unresponsive and inadequate. They have failed to provide clear answers regarding how this fraudulent charge occurred and when it will be resolved. Furthermore, they have refused to refund my stolen funds and have instead offered a minimal compensation of $500. 

I find this approach completely unacceptable and believe that I deserve better treatment as a longtime customer of Chase Bank. This incident has left me questioning the safety and security of my account, and I fear that it may not be safe to continue doing business with them in the future. 

It is imperative that Chase takes immediate action to investigate this fraudulent charge and ensure that my account is secure once again. I demand a refund of my stolen funds and a full explanation of how this incident occurred. Furthermore, I request that they take all necessary steps to prevent any further fraudulent activity from occurring in the future. 

I urge you to intervene in this matter and guide Chase Bank towards a fair resolution. As a consumer protection agency, it is your responsibility to ensure that individuals like myself are treated fairly and justly when it comes to financial matters. 

Thank you for your time and attention to this matter. I trust in the CFPB's mission to protect consumers from fraudulent activity and look forward to your guidance in resolving this issue. 

Sincerely, XXXX XXXXXXXXXXXXXXXXXXXX",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0
I deposited XXXX into my account and the atm said it couldnt process it and it didnt want to give it back,2.0,2.0,"Dear [bank name],

I am writing to express my extreme frustration with the recent incident involving my deposit at [branch location]. On [date], I attempted to make a deposit of $XXXX into my account at the ATM. Unfortunately, the machine was unable to process the transaction and refused to return my money. The entire experience was incredibly frustrating and stressful, and I am disappointed in the level of service that I received from your bank.

I have been a loyal customer of [bank name] for many years, and I had always trusted your institution to handle my financial transactions with ease and efficiency. However, this incident has shaken my confidence in your ability to provide reliable and dependable banking services.

I demand that you investigate this matter thoroughly and take immediate action to rectify the situation. I am willing to work with your team to resolve any issues that may have caused this problem, but I expect a prompt and satisfactory resolution.

Sincerely,
[your name]",2.0,3.0,,"Dear Customer Service Team,

I am writing to express my extreme frustration with the recent experience I had at an ATM while depositing money into my account. The ATM refused to process my deposit and returned my money without any explanation or reasoning. This was a severe breach of trust and has left me feeling disrespected by your bank.

I understand that there may have been technical difficulties or issues with the machine, but that does not excuse the fact that I was not given any information about what happened or why. It is unacceptable to treat customers in this manner, especially when they are attempting to put money into their account. This behavior is severely damaging to my relationship with your bank and I demand an immediate resolution to this issue.

I am extremely disappointed with the lack of transparency and communication from your team and I expect a prompt response to this complaint. I demand that you take steps to ensure that this never happens again and that you provide me with an explanation for what went wrong. I also demand that my deposit be returned immediately and that you compensate me for any fees or charges incurred as a result of this incident.

I will not tolerate this kind of behavior from your bank and I will make sure to voice my concerns to anyone who will listen. This is unacceptable and I demand action.

Sincerely,
[Your Name]
Tone Severity: 2.0
Event Severity: 3.0",3.0,2.0,,1.0,1.0,2.0,2.0,2.0,3.0
I dispute this debt a couple of times with expirian and they keep the same status when they didnt investigate it. This macys account on my expirian credit report.,2.0,2.0,"Dear [Bank Name],

I am writing to express my extreme frustration with the debt collection activities of your bank, specifically in regards to my Macy's account. I have repeatedly attempted to dispute this debt, yet it remains on my credit report despite your failure to investigate it thoroughly. This is a severe issue that has caused significant harm to my overall experience with your bank and has put me in an unjust and unfair position.

Your bank's practices of harassing customers with repeated phone calls and letters, ignoring their requests for clarification, and failing to provide timely and accurate information about their debts are truly disgraceful. I demand that you immediately take action to resolve this issue and remove this debt from my credit report. I will not rest until justice is served and my reputation as a responsible consumer is restored.

I urge you to take this matter seriously and to address it promptly, as I am not one to be trifled with. If you do not take action to resolve this issue, I will be forced to seek legal recourse and pursue further action to protect myself from your unethical practices. This is a warning to all customers of your bank: beware of the harshness and severity that comes with dealing with a bank that prioritizes profits over the well-being of its customers.

Sincerely,
[Your Name]",2.0,3.0,,"Subject: Unresolved Debt Dispute - Case Severity 3.0, Tone Severity 2.0

Dear [Customer Service Representative],

I have been struggling with this issue for months now and I am beyond frustrated with the lack of action and resolution from your team. My Macys account has been showing up on my credit report as an unpaid debt, despite multiple disputes and inquiries about its status. This is a severe violation of my rights as a customer and I demand immediate action to resolve this matter.

Your team has not investigated the dispute properly and keeps dismissing my concerns with no explanation or resolution. This is extremely unprofessional and shows a complete disregard for my needs and well-being. I am sick of dealing with your company's poor customer service, and it is time for you to take responsibility for this mistake.

I demand that you investigate this issue thoroughly and provide me with a detailed explanation for why my account continues to show up as an unpaid debt on my credit report. Furthermore, I demand that you remove this incorrect information from my credit report immediately, or I will consider taking legal action against your company.

This is not the first time I have experienced a problem with your bank, but it is the last. I am done dealing with your poor customer service and I will never do business with your bank again.

Sincerely,
[Your Name]",3.0,2.0,,2.0,1.0,2.0,3.0,2.0,3.0
"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against meXXXX XXXX XXXX XXXX XXXX XXXX WELLS FARGO CARD SER XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  and XXXX XXXX XXXX",2.0,2.0,"Dear Customer,

I am sorry to hear that you have recently experienced issues with your credit report and the mis-reporting of information. We understand how important it is for accurate information to be reflected in your credit report, and we apologize for any inconvenience this may have caused you.

We take all complaints regarding mis-reported information very seriously, and we will investigate this matter thoroughly to ensure that the correct information is reported on your credit report. We also want to assure you that we are committed to complying with the Fair Credit Reporting Act and its requirements for notice and investigation of negative activity reporting.

We understand how frustrating this experience may be for you, and we apologize for any stress it may have caused. If you have any further concerns or questions, please do not hesitate to contact us. We will do our best to resolve this issue in a timely manner and ensure that accurate information is reflected on your credit report.

Sincerely,

[Your Name]",2.0,3.0,,"Dear valued customer,
We deeply apologize for the errors and inaccuracies we have found in your credit report. We understand how devastating it can be to have incorrect information about your financial history being reported against you, and we take this matter very seriously. Our team has been working tirelessly to investigate these issues and correct any errors that were made.
We appreciate your patience and understanding during this time. Please know that we are committed to doing everything in our power to resolve this issue as quickly and efficiently as possible. If you have any further questions or concerns, please do not hesitate to contact us directly.
Sincerely,
The Wells Fargo Card Services Team.",3.0,2.0,,2.0,2.0,2.0,3.0,2.0,1.0
"XX/XX/XXXX Citibank lowered my credit from {$11000.00} to {$3000.00}. Stating, XXXX reported I was delinquent on an account. Citi now reporting my credit score is no XXXX. XX/XX/XXXX, I provided documents to XXXX clarifying the delinquency. XX/XX/XXXX XXXX raised my credit score right back to XXXX. From XX/XX/XXXX to date, I have contacted CITI bank and asked them to correct my credit score and give me back my higher limit. XX/XX/XXXX with Citibank a supervisor ( won't give me their name ) place my COMPLANT about my credit score. XX/XX/XXXX I faxed a company of the XXXX XXXX XXXX and report showing it was XXXX. XX/XX/XXXX XXXX a letter declined. Called Citi XX/XX/XXXX and again told them the credit score is wrong. Then again on XX/XX/XXXX, XX/XX/XXXX i placed complaints Citi is reporting the wrong credit score. Citi would tell me they would check with XXXX and other agents would tell me theres nothing they can do. XXXX I called XXXX and they validated the scores of XXXX, then XXXX have been sent to the credit card and validated that Citi has NOT pulled any credit on my in 8 months. So they lied!! 
Attached is XXXX imagens from right from XXXX. Notices the scores, and dates. Also the bottom right shows todays date. More importantly, the second XXXX score states, up XXXX point from the previous months score. Proving that back in XXXX my score was XXXX which Citi shows it wasnt. They are not reporting my credit correctly",2.0,2.0,"Dear Customer,

I am sorry to hear about your negative experience with Citibank in regards to the lowering of your credit score and incorrect reporting. I understand how frustrating this issue can be and we take all complaints seriously.

We have reviewed your case and have found that there was a mistake in the credit score calculation and reporting. We apologize for any inconvenience or harm caused by this error, and we are taking immediate action to correct it. We have already raised your credit score back to its previous level and we will be reviewing our systems to prevent similar errors from occurring in the future.

We understand that you may still have concerns and questions regarding this issue, so please do not hesitate to contact us if you have any further questions or if there is anything else we can assist you with. We value your business and want to ensure that you have a positive experience with Citibank.

Sincerely,
Citibank Customer Service Team",2.0,3.0,,"Dear Citibank Customer,

We are deeply sorry to hear about your recent experience with our bank. We understand how frustrating it must be to have issues related to your credit score, particularly when you have provided all necessary documents to clarify the situation.

As a valued customer, we want to assure you that we take any complaints seriously and will do everything in our power to resolve this issue promptly and effectively. We apologize for the inconvenience caused to you and understand how important it is for your credit score to be accurate.

Please know that we have reviewed your case and found that there was a significant error in your credit score reporting. Our team has taken immediate action to correct this mistake and ensure that your credit score is updated accurately. We are committed to making things right for you and will do everything we can to restore your confidence in our bank.

We understand how important it is for you to have access to accurate financial information, and we want to assure you that we take this matter very seriously. Our team has been working closely with you to address your concerns and ensure that the issue is resolved as quickly as possible.

We value your business and appreciate your patience and understanding during this time. If you have any further questions or concerns, please do not hesitate to contact us directly. We are committed to providing excellent customer service and ensuring that our customers receive the support they need when issues arise.

Sincerely,

[Your Name]
Citibank Customer Service",3.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0
"On XX/XX/2022, my Checking account with Wells Fargo was incompetent, as I was experiencing fraud. They had stolen more than {$2000.00} out of my checking account through Wells Fargo. Wells Fargo did not even alert me of this big purchase, I had found out myself by checking my bank account at a random time. It was devastating cause they had did it twice, stolen {$2000.00} out of my account twice, and I wasnt alerted both times. It took quite a while to figure this out with Wells Fargo, but luckily the credited my stolen money back.",2.0,3.0,,,,,,,,,2.0,3.0,2.0,3.0,2.0,3.0
In accordance with the Fair credit Reporting Act this creditor has violated my right under 15 USC 1681 section 602 state i have the right to privacy 15 USC 1681 section 604 A section 2 in it also state a consumer reporting agency can not furnish an account without my written instructions under 15 USCS 1666b a creditor may not treat a payment on credit card account under an open end comsumer credit plan as late for any purpose.,2.0,2.0,"Complaint 1

Tone Severity: 2.0
Event Severity: 2.0

Dear [Bank Name] Customer Service,

I am writing to express my extreme dissatisfaction with your bank's recent actions regarding my credit card account. I have been a loyal customer of [Bank Name] for many years, and I have never had any issues until now.

Recently, I received an alert that my credit card account was being used fraudulently. I immediately contacted your customer service team to report the issue and request that you take action to protect my account. However, I was shocked to discover that your customer service team has been unresponsive and unhelpful in addressing my concerns.

I have spent countless hours trying to resolve this issue with no success. Your customer service team has repeatedly refused to investigate the matter despite my repeated requests for assistance. I find it appalling that you would treat a loyal customer like this, and I am considering taking legal action against your bank.

This is unacceptable, and I demand that you take immediate action to rectify this situation. Please investigate the matter thoroughly and provide me with an update on your findings. If I do not receive a satisfactory response within 24 hours, I will be forced to terminate my account with [Bank Name] and seek out alternative financial services.

Sincerely,
[Your Name]

Complaint 2

Tone Severity: 2.0
Event Severity: 3.0

Dear [Bank Name] Customer Service,

I am writing to express my extreme frustration with your bank's recent actions regarding my credit card account. I have been a loyal customer of [Bank Name] for many years, and I have never had any issues until now.

Recently, I received an alert that my credit card account was being used fraudulently. I immediately contacted your customer service team to report the issue and request that you take action to protect my account. However, I was shocked to discover that your customer service team has been unresponsive and unhelpful in addressing my concerns.

Not only have I been unable to get a satisfactory response from your customer service team, but my credit card has been charged fraudulently on multiple occasions. This is a severe violation of my privacy and has caused me significant financial distress.

I find it appalling that you would treat a loyal customer like this, and I am considering taking legal action against your bank. I demand that you take immediate action to rectify this situation and ensure that my credit card account is secure. Please investigate the matter thoroughly and provide me with an update on your findings. If I do not receive a satisfactory response within 24 hours, I will be forced to terminate my account with [Bank Name] and seek out alternative financial services.

Sincerely,
[Your Name]",2.0,3.0,,"Dear Customer,

We are sorry to hear about your recent experience with our bank. We understand how important it is for you to have confidence in the security of your personal and financial information, and we regret any inconvenience or distress this may have caused you.

We take any complaints seriously and would like to assure you that we are taking immediate action to investigate and resolve the issue you have raised. We will do everything within our power to ensure that this does not happen again in the future.

Once again, we apologize for any inconvenience or distress this may have caused you, and we appreciate your patience as we work to resolve this matter.

Sincerely,
[Your Name]
Customer Service Representative",3.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0
"Despite the multiple previous written requests, the unverified item listed below still remains on my credit report in violation of Federal Law. You are required under the FCRA to have a copy of the original creditors documentation on file to verify that this information is 100 % true, accurate & correct. BANK OF AMERICA XXXX, XXXX XXXX XXXX XXXX, XXXXXXXX XXXX XXXX XXXXXXXX and XXXX XXXX XXXX XXXX has been reporting late payments on my report. Those payments were made on time. I am requesting that the late payment markings be updated to reflect my accurate payment history. If there is any confusion, I suggest you contact myself or the customer service representative of the said accounts.",2.0,2.0,"Dear Customer,
I apologize for the inconvenience caused by the false late payment markings on your credit report. We understand how frustrating it can be to have inaccurate information on your credit report and we are committed to resolving this issue as quickly as possible.
We have thoroughly reviewed the situation and have found that there was an error in our system that resulted in the incorrect reporting of these late payments. We are taking immediate action to correct this error and ensure that your credit report reflects your true payment history.
Please be assured that we take data security very seriously and we have implemented strict measures to prevent similar errors from occurring in the future. We apologize for any distress this may have caused you and we appreciate your patience during this process.
If you have any further concerns, please do not hesitate to contact us at XXXXXX XXXXXXXX or visit one of our branches.
Sincerely,
[Your Name]
Customer Service Representative, Bank of America",2.0,3.0,,"Dear [Customer],

I apologize for the continued inconvenience caused by the unverified item on your credit report. We understand the importance of accurate credit reporting and we are committed to resolving this issue as quickly as possible.

We have conducted a thorough investigation into the matter and found that the late payment markings on your credit report do not accurately reflect your payment history with Bank of America XXXX, XXXX XXXX XXXX XXXX, XXXXXXXX XXXX XXXX XXXXXXXX and XXXX XXXX XXXX XXXX. We have taken steps to update the markings on your report to reflect your accurate payment history.

If you have any further concerns or questions, please do not hesitate to contact our customer service team. We are here to help and we apologize for any frustration this may have caused.

Sincerely,
[Your Name]
Customer Service Representative",3.0,2.0,,2.0,3.0,2.0,2.0,1.0,2.0
"We attempted numerous loan modifications, but ultimately were foreclosed on even though we submitted all requested documentation and made the necessary trial period payments.",2.0,3.0,,,,,,,,,2.0,3.0,,,2.0,2.0
"I am a huge XXXX XXXX consumer. I love the store. I have their close loop store credit card that I use weekly. I signed in to pay my monthly credit amount. The store card showed I had a XXXX balance, which I knew was not accurate. It took me a while to figure out that there was a drop-down arrow. When I clicked on it I could see a Visa account that showed my balance on it. I do now have a XXXX XXXX XXXX. I have declined every time the cashier has asked me to open one. I have worked very hard to keep my spending in check and keep my credit score high. I do not want another Visa. But there was a Visa account in my name with a balance on it. To make matters worse, I clicked on it to pay it and a big XXXX XXXX came up that said I have NO MINIMUM AMOUNT DUE. 
I am furious. The interest rate, like all credit cards, is high and I would have fallen for this. 
I called Citi Bank to discuss this and got nowhere. They said I was sent a letter saying this was going to happen. I never received such a letter. And I was never sent a card ... which is even weirder. It shows xxxxxxx on the online statement account so I can't even provide you my account number as requested on the next page of this complaint. 
I hope you can look into this. Seems very sketchy.",2.0,2.0,"#### Tone Severity = 2.0
I am outraged by the recent experience I had with my Citibank account. I signed in to pay my monthly credit amount, only to find that there was an inaccurate balance on my store card. Despite multiple attempts to rectify the situation, I have been met with nothing but frustration and lack of assistance from customer service representatives. The fact that I received a letter stating that this would happen and yet never actually received one is beyond me. Furthermore, the interest rate on the credit card is unacceptable and I feel taken advantage of by this situation. This experience has left me feeling angry and frustrated with Citibank and I demand action be taken to resolve this issue immediately.
#### Case Severity = 3.0
I am absolutely furious with the recent incident involving my Citibank account. Not only was there an inaccurate balance on my store card, but I also received a letter stating that this would happen, despite never actually receiving one. To make matters worse, the interest rate on the credit card is unacceptable and I feel taken advantage of by this situation. This experience has left me feeling angry and frustrated with Citibank and I demand action be taken to resolve this issue immediately. The fact that I have been met with nothing but frustration and lack of assistance from customer service representatives has only added to my anger and I refuse to continue doing business with this bank until this issue is resolved.",2.0,3.0,,"As a valued Citi Bank customer, I am beyond frustrated with the recent experience I had with my Citi Bank credit card. I signed in to pay my monthly credit amount and discovered that my store card showed an incorrect balance. Despite repeatedly declining requests for a Visa account, I found out there was already a Visa account with a balance on it in my name. To make matters worse, when I attempted to pay it, I was met with a message saying I had no minimum amount due.

I called Citi Bank to discuss this issue and was met with absolutely zero assistance. Not only did they fail to provide me with the necessary information, but they also never sent me the letter they claimed to have sent me regarding this matter. It is truly disheartening that Citi Bank would engage in such unethical behavior and refuse to take responsibility for their actions.

I demand that Citi Bank immediately investigate this matter and take appropriate action to rectify it. This behavior is not only unacceptable, but also completely damaging to my credit score and financial stability. I will be taking legal action against Citi Bank until this issue is resolved and my rights are protected.",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0
