Random Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2
Ive been asking for documentation stating why my fraudulent charges were being denied and this is what Ive gotten back since 5 months of asking for them Date : XX/XX/2022 Time : XXXX ; XXXX XXXX XXXX : Consumer Web Sent : XX/XX/2022 Sent to : ( XXXX ) XXXX Dont know what exactly does this refer to or has to do with because first of all the dates the the charges were made are XX/XX/2022 - XX/XX/2022 - XX/XX/2022 and me as a consumer I would be expecting something for each and one of those transactions a reason on why each on of them were declined for a return,3.0,2.0,,,,,,,,
"I had a small business that failed. I had a company credit card that all employees used. It was my fault that employees took advantage of my business in this way by making liberal and unauthorized purchases on the credit card. But, this was a business credit card, not a personal credit card and Chase Bank is treating it as a personal debt when it was not a personal debt. I feel that if this will affect me personally, then the employees that used the credit cards should be affected personally also. 

After I sold the assets, the business paid or settled the remaining open debt balances. This business Chase credit card is being attached to my personal credit report even though I never signed a personal guaranty for the credit card. Chase Bank harassed and called me daily to pay the balance on the credit card back in 2020. Since it was affecting my personal ability to move on in life and have access to credit again, I offered Chase a settlement. I paid the amount we settled on personally and they were supposed to remove the record from my personal credit report. They have not done it and recently I was denied credit and this was a major reason for the rejection. This poor history on my personal credit report that should never have been reported there but to XXXX XXXX XXXX, is causing me harm in my personal life.",3.0,3.0,,,,,,,,
"I applied for a XXXX modification in XXXX with Wells Fargo due to being XXXX, they instructed me to quit paying my XXXX payment and would modify my loan. XXXX months later i was in XXXX I called and sent documents XXXXl times with no response. I called every week, they kept saying my documents were not received. Then I was denied. My house was going to be XXXX in XXXX of XXXX and thankfully my XXXXr left me XXXX when he passed and I Paid XXXX and saved my house. 
XXXX XXXX!!! This was so stressful and they just ignored me after they instructed me to quit paying my mortgage because they would modify my loan.",3.0,3.0,,,,,,,,
my bank account was compromised/hacked on XX/XX/XXXX and and some withdrew XXXX dollars without my knowledge or permission and bank of America denied my claim.,3.0,3.0,,,,,,,,
"I purchased a {$500.00} visa gift card from XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  for {$500.00} ( {$500.00} for the gift cad, and a {$5.00} activation fee ). THe gift card had {$0.00} funds on it. I attempted, over the course of several months and at least 10 phone calls, to resolve the issue with XXXX ( who issues the gift card ). They never provided a replacement card with funds on it. I disputed the transaction on my credit card. CITI labeled it as "" did not receive a service '' and requested documentation from me. I sent them documentation explaining that it was a gift card that was sold to me with {$0.00} in funds on it. I included pictures showing the defective card ( which had paper over the barcode, which is what made it unusable ). CITI closed the dispute and claimed I did not "" prove '' I never received the service and that I had not responded to their requests. I attempted to reopen the dispute, and they did the same thing again. THey have not specified what documents they woudl need -- I was sold a product, but was never give that product. To continue to bill me for this is fraud.",3.0,2.0,,,,,,,,
"As a result of my formal request having been made to "" XXXX '' on XX/XX/2023 the request by me to send the disputed transaction to XXXX XXXX XXXX for arbitration has been ignored completely. As of this date, XX/XX/2023, I file the same request and file a grievance with the Consumer Financial Protection Bureau. I must be given written proof this step. Of relevance and for educational purposes, please locate and see the "" Cardholder Disputes and Chargebacks '' at page 10 at XXXXXXXX XXXX XXXX XXXX XXXXXXXX. Attention - CitiBank - There is no logical reasonable reason that you're fighting me over XXXX dollars. I am not lying whatsoever in my dispute process. The unequivocal fact is that the XXXX Merchant controlled A FROZEN FAULTY COMPUTER AND PRINTER WHICH DID NOT WORK and my services WERE NOT RENDERED TO ME.",3.0,3.0,,,,,,,,
"Im writing this complaint to express my frustration of the conduct of these banks, trying to take advantage of me, by filing a Foreclosure lawsuit against me on a secondary/balloon loan they implied with my primary mortgage co. in XXXX with them. These Banks then in XXXX advertised on the radio that they were holding a 1-Day seminar on mortgage loan modifications to reduce interest rates drastically on the spot which they held at XXXX XXXXXXXX XXXX XXXX in XXXX. I & several other Homeowners were selected, and in fact, had our interest rates & monthly payments, reduced with our maturity dates extended & approved by them on the spot, which they also guaranteed they would file required paperwork to the XXXX XXXX Recorders office. It was just brought to my attention on Thursday, XXXX XXXX, XXXX that they did not file all required paperwork to the XXXX XXXX XXXX office on secondary/ballon loan as they should have & guaranteed. However, they did file required paperwork to XXXX XXXX XXXX office for primary loan only! Mind you both loans & modifications were done at the same time again by these banks, therefore Im taken aback by the fact that they arent taking accountability for their errors & mistakes. It seems as though they did this purposely. 
I trust this is not the way the banks wish to conduct business with valued, loyal customers. I have been with these banks since XXXX. This has affected several Homeowners & is probably a worldwide issue. I have contacted the Attorney Generals Office, it was advised to contact CFBP as 1st step into having my issue investigated & Im trying to be an advocate for us all to stop these banks from trying to take advantage of Homeowners with equity in their homes so they can make even more money off of us who have worked so hard to pay our loan payments, and keep our homes to have a roof over our heads. I am most annoyed & dissatisfied with their conduct, due to the fact that I have been paying my reduced monthly payment of {$130.00} with interest rate of XXXX XXXX under modified maturity date of XXXX since effective date of XXXX until XXXX ( Lender ) unexpectedly discontinued taking automated payments from my checking acct. due to incorrect maturity date in their system. XXXX XXXX indicated to me in XX/XX/XXXX that my loan has been put into foreclosure status despite the fact that its due to the negligence of the Banks & I have tried several times to resolve this issue, but to no avail, its obvious that I did not cause this situation. I welcome the opportunity to discuss matters further & learn how you propose to prevent similar situations from recurring. I look forward to hearing back from you as soon as possible about this unfortunate situation. Thank you for your attention to this matter.",3.0,3.0,,,,,,,,
"I closed my accounts with Citibank on or around XX/XX/2023. I was able to consolidate two separate accounts over the phone. I was told over the phone that checks for the remaining balance for both accounts, one with {$300.00}, and one with {$3800.00}, would be mailed to my address and should arrive in ~10 business days. I called again in late XXXX to inquire where the checks were, as I had not received anything and was told to wait another week as they get delayed in the mail sometimes. I called again in early XXXX and I was told to wait 1 or 2 more business days to receive the checks. On XX/XX/XXXX, I received one check dated XX/XX/XXXX for {$300.00}. The check for {$3800.00} did not arrive and is still outstanding. I called Citibank again on XX/XX/XXXX and received no additional information. 

I called again on XX/XX/XXXX and was told that they would void the check and send a fresh check to my address. The second check for {$3800.00} was issued XX/XX/XXXX and was due to arrive on XX/XX/XXXX. As of XX/XX/XXXX I have yet to receive either check for {$3800.00}. In speaking to the bank on XXXX XXXX, I was told they will void the second check and that I should expect to receive it on or around XXXX XXXX. 

My mailbox is locked and the only people with access are my immediate family. Neither check for {$3800.00} has arrived, and Citibank has no other options available for me than trying to send a third check. The representatives told me they would log my case and file a complaint within the bank to learn from this issue. No explanation could be given as to why the checks have not arrived. I have essentially lost access to {$3800.00} for three months which is a major detriment to my financial wellbeing, just because I do not live in a state with a Citibank office where I could've visited to close my account. This has been incredibly stressful and I do not wish others to have a similar experience.",3.0,2.0,,,,,,,,
I lost my debt card at gas station this morning between XXXX to XXXX I use my card to get gas at XXXX XXXXXXXX went home and went to sleep woke up and realized my card and wallet was missing and received and alert saying my card was used to take {$3500.00} from an Wells Fargo bank atm machine,3.0,3.0,,,,,,,,
"Hello, I opened a business account just two weeks ago at the XXXX XXXX ( XXXX ) Business Center XXXX XXXX XXXX XXXX, XXXX CA for a new business. After opening the account with the business account representative XXXX, we both walked to the front counter and deposited {$10000.00} case into my BOA Business account with the business clerk. She counted the money in the machine and then said she would deposit the funds. Today I logged in and noticed that my Bank of America Business Account balance is XXXX XXXX. There is no transaction or transfer history as I have not even had a chance to use the account yet. 

Where is my money? I am going to miss a bid on a property for my business because of this!! The money isn't there. 

I have cc'ed the account representative tha assisted me with opening the account. 

Name : XXXX XXXX Address : XXXX XXXX XXXX XXXX XXXX CA Acct : XXXX XXXX",3.0,2.0,,,,,,,,
"On XXXX XXXX, XXXX, I was just checking my credit card statement on my Bank of America Cash rewards card and noticed THREE charges that I DID NOT MAKE! They were all over {$300.00} at XXXX XXXX -- {$300.00} in XXXX XXXX CA, {$320.00} in XXXX XXXX, and {$320.00} in XXXX. They were pending at the time. I called immediately and talked with a young man and entered a fraud dispute. I had my credit card cancelled immediately as well, and a new one was issued and is currently in the mail. A few days later the charges were reversed. I checked my account today ( XXXX XXXX ), and the reversed charges were RE-ENTERED! A letter on our account just said they were unable to approve my claim. 
That "" We confirmed your card was used for the charge ( s ). The chip was read, your PIN was entered, and/or you signed for the merchandise or service, which indicates you or someone you allowed to use your card was present. '' THIS IS NOT TRUE!! 
I don't know what to do. I have tried to get through calling, but I'm continually transferred to another number and then never can talk to anyone.",3.0,2.0,,,,,,,,
"Several years ago, we arranged a settlement with Wells Fargo for a repossession of our vehicle that was handled inappropriately & negatively impacted our lives. Upon negotiation, it was determined that a set amount would be sent to us & that all of this would be removed from all reporting agencies where our credit is concerned. We have waited several years for this removal from our credit report to occur and it did not. It has negatively impacted our families since that time & impaired our ability to get credit in many cases. I have had to finally go in & fight this on our credit report through disputing this incident. We are deeply disappointed that after a traumatic experience of losing our vehicle through inappropriate means and negotiating a settlement, that this issue with our credit would greatly impair our ability to provide for our families. It is definitely not what we were told would occur. 

The vehicle was financed in XXXX XXXX & XXXX XXXX, XXXX names. The vehicle was repossessed in 2016. It was a red XXXX XXXX.",3.0,2.0,,,,,,,,
"This is the second complaint. In XX/XX/2022 they closed my account in the name of XXXX XXXX  the last check I deposited was cashed by the bank but they did not give me the funds of {$10000.00}. 

The funds have not been returned to the company that gave me that check, I had to borrow to be able to return that money, since that company would accuse me of theft, I lost my job and my prestige thanks to Bank of America. It's been almost a year and until today they do nothing, they don't return the money to me, nor to my former client.",3.0,2.0,,,,,,,,
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX i reviewed my credit report with my Federal case manager they was outstanding balances on the report that was not from me... i have been a victim of Identity theft ..also i have sent proof to XXXX credit bureau... i just want to get this cleared up thank you,3.0,3.0,,,,,,,,
